id,question,answer_source_type,source_artifacts,answer_free_text,Note
L3-Q-EASY-011,นโยบาย refund signing authority ladder ฉบับล่าสุด (current version) ของฟ้าใหม่ มีผลบังคับใช้ตั้งแต่วันที่เท่าไหร่ครับ,tables,tables/DIM_POLICY_VERSION.csv,นโยบาย refund signing authority ladder ฉบับ current version มีผลตั้งแต่วันที่ 2025-02-15 (policy_version_id 6).,
L3-Q-EASY-012,MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) เป็นเท่าไหร่ครับ,tables,tables/DIM_PRODUCT.csv,"MSRP ของสินค้า SF-Galaxy-Pro-2568 คือ 38,900.00 บาท ตาม DIM_PRODUCT.",
L3-Q-EASY-013,FahMai มี vendor (คู่ค้า/ซัพพลายเออร์) ทั้งหมดกี่รายในไดเรกทอรี DIM_VENDOR ครับ (นับทุกรายในตาราง รวมทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว),tables,tables/DIM_VENDOR.csv,DIM_VENDOR มี vendor ทั้งหมด 6 ราย.,
L3-Q-EASY-014,สาขาไหนของฟ้าใหม่ที่มีจำนวนรายการขาย (transactions) ตลอดประวัติศาสตร์มากที่สุดครับ และมีกี่รายการ,tables,tables/FACT_SALES.csv; tables/DIM_BRANCH.csv,"สาขาที่มีรายการขายมากที่สุดตลอดข้อมูลคือ BKK-SIAM (FahMai Siam) จำนวน 18,084 รายการ.",
L3-Q-EASY-015,FahMai มีพนักงานทั้งหมดกี่คนในไดเรกทอรี DIM_EMPLOYEE ครับ (นับทุกแถวในตาราง รวมทุกสายงาน ทุกระดับ และทุกสาขา),tables,tables/DIM_EMPLOYEE.csv,DIM_EMPLOYEE มีพนักงานทั้งหมด 600 คน.,
L3-Q-EASY-016,ในวันที่ 15 ธันวาคม 2024 ลูกค้าสามารถคืนสินค้าได้ภายในกี่วันตามนโยบายของฟ้าใหม่ที่มีผลบังคับใช้ ณ วันนั้นครับ,tables,tables/DIM_POLICY_VERSION.csv,วันที่ 15 ธันวาคม 2024 นโยบายที่มีผลบังคับใช้ให้ลูกค้าคืนสินค้าได้ภายใน 14 วัน (policy_version_id 1).,
L3-Q-EASY-017,ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมดกี่รายใน DIM_CUSTOMER ครับ,tables,tables/DIM_CUSTOMER.csv,DIM_CUSTOMER มีลูกค้าประเภท B2B ทั้งหมด 300 ราย.,
L3-Q-EASY-018,อัตราการสะสม FahMai Points ต่อบาท (point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 มีค่าเท่าไหร่ครับ,tables,tables/DIM_POLICY_VERSION.csv,ก่อนวันที่ 1 เมษายน 2025 อัตราสะสม FahMai Points คือ 0.0100 points ต่อบาท (policy_version_id 3).,
L3-Q-EASY-019,ตาม DIM_POLICY_VERSION อัตราการสะสม FahMai Points ต่อบาท (policy_variable=point_earning_rate_per_thb) ของฟ้าใหม่ที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป มีค่าเท่าไหร่ครับ,tables,tables/DIM_POLICY_VERSION.csv,ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไป อัตราสะสม FahMai Points คือ 0.0125 points ต่อบาท (policy_version_id 4).,
L3-Q-EASY-020,ใน FACT_SHIPPING ของ FahMai ทั้งหมด ขอทราบว่า vendor ขนส่งรายใดเป็นผู้รับผิดชอบรายการขนส่งให้ FahMai บ้าง และมีจำนวนรายการขนส่ง (ตามจำนวนแถวใน FACT_SHIPPING) ของ vendor รายนั้นทั้งหมดกี่รายการครับ,tables,tables/FACT_SHIPPING.csv; tables/DIM_VENDOR.csv,"รายการขนส่งทั้งหมดรับผิดชอบโดย VeloShip (V-006) รวม 23,182 รายการ.",
L3-Q-EASY-021,ตามฐานข้อมูลลูกค้าของฟ้าใหม่ใน DIM_CUSTOMER ขณะนี้มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมดกี่รายครับ,tables,tables/DIM_CUSTOMER.csv,"DIM_CUSTOMER มีลูกค้า loyalty_tier gold ทั้งหมด 7,500 ราย.",
L3-Q-EASY-022,ในโปรแกรมสะสมแต้มของ FahMai (อ้างอิงคอลัมน์ loyalty_tier ใน DIM_CUSTOMER) ระดับสมาชิก (tier) ที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูล คือระดับใดครับ,tables,tables/DIM_CUSTOMER.csv,"tier สูงสุดที่มีการกำหนดให้ลูกค้าจริงคือ platinum มีลูกค้า 7,500 ราย.",
L3-Q-EASY-023,ฟ้าใหม่มีบัญชีธนาคาร (bank account) ที่ใช้ดำเนินงานทั้งหมดกี่บัญชีตาม DIM_BANK_ACCOUNT ครับ,tables,tables/DIM_BANK_ACCOUNT.csv,DIM_BANK_ACCOUNT มีบัญชีธนาคารทั้งหมด 14 บัญชี.,
L3-Q-EASY-024,ตาม DIM_POLICY_VERSION ของฟ้าใหม่ refund threshold (policy_variable=refund_threshold_thb) ที่มีผลบังคับใช้ ณ วันที่ 1 เมษายน 2025 (หลังการปรับนโยบายล่าสุด) มีค่าเท่าไหร่บาทครับ,tables,tables/DIM_POLICY_VERSION.csv,"refund threshold ที่มีผล ณ วันที่ 1 เมษายน 2025 คือ 5,000.00 บาท (policy_version_id 12).",
L3-Q-EASY-025,ฟ้าใหม่มีแคมเปญโปรโมชัน (promotional campaigns) ที่แตกต่างกันทั้งหมดกี่แคมเปญในไดเรกทอรี DIM_PROMO_CAMPAIGN ครับ (นับทุกแถวในตาราง ทุกปี ทุกประเภท),tables,tables/DIM_PROMO_CAMPAIGN.csv,DIM_PROMO_CAMPAIGN มีแคมเปญโปรโมชันทั้งหมด 7 แคมเปญ.,
L3-Q-MED-001,ขอข้อมูล SKU ที่ขายดีที่สุดของฟ้าใหม่ตามจำนวนชิ้นที่ขายได้ (units sold) แยกเป็น 2 ปี ครับ ปี 2024 (พ.ศ. 2567) คือ SKU ไหน และปี 2025 (พ.ศ. 2568) คือ SKU ไหน? ตอบเป็น sku_id ของแต่ละปีให้ครบทั้งสองค่า,tables,tables/FACT_SALES_LINE_ITEM.csv,"คำตอบ: - ปี 2024: `SKU-MASS-063` ขายได้มากที่สุด รวม `1,508` ชิ้น - ปี 2025: `SF-Galaxy-Pro-2568` ขายได้มากที่สุด รวม `4,370` ชิ้น ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_SALES_LINE_ITEM.csv` - กรอง `business_event_date` แยกปี 2024 และ 2025 - group by `sku_id` แล้ว sum `quantity` - เรียงจาก `quantity` มากไปน้อย",
L3-Q-MED-002,"ใน FACT_BANK_TRANSACTION ของฟ้าใหม่ ขอ single largest deposit แบบรายแถวเดียว (single transaction, ฝั่ง credit) ตลอดช่วงข้อมูลที่มี ขอครบ 4 อย่างคือ (1) จำนวนเงิน amount_thb (บาท), (2) วันที่ business_event_date, (3) account_id ของบัญชีที่รับเงิน, และ (4) source event ของรายการนี้ (เกี่ยวกับสินค้าตัวไหน / promo campaign อะไร / event ของบริษัทคืออะไร) ครับ",tables; renders,tables/FACT_BANK_TRANSACTION.csv; tables/FACT_SALES.csv; tables/FACT_SALES_LINE_ITEM.csv; tables/DIM_PRODUCT.csv; tables/DIM_PROMO_CAMPAIGN.csv; renders/bank_statement/2025-07/BS-OPER-REMOTE-2568-07_header.png,"คำตอบ: Single largest deposit ใน `FACT_BANK_TRANSACTION` คือ: - `amount_thb`: `18,906,765` บาท - `business_event_date`: `2025-07-15` - `account_id`: `OPER-REMOTE` - `bank_txn_id`: `BT-202507-1041521243094` - `transaction_type`: `deposit` - `related_entity_table`: `FACT_SALES_DEPOSIT_BATCH` - `related_entity_id`: `REMOTE|2025-07-15|credit_card` - `description`: `B2C credit_card batch deposit REMOTE 2025-07-15` Source event ของรายการนี้คือยอดรับเงินแบบ batch จากยอดขาย B2C ช่องทาง online/REMOTE ที่จ่ายด้วย `credit_card` วันที่ `2025-07-15` ไม่ใช่ transaction สินค้ารายตัวเดียว แต่เมื่อตรวจยอดขายใน batch นี้พบว่าเกี่ยวข้องกับแคมเปญ `SF-LAUNCH-2568` เป็นหลัก: - จำนวน transaction ใน batch: `509` - sum `net_total_thb`: `18,906,765` บาท ตรงกับยอด deposit - promo campaign หลัก: `SF-LAUNCH-2568` จำนวน `501` transaction - SKU หลักใน batch: `SF-Galaxy-Pro-2568` - จำนวน `SF-Galaxy-Pro-2568` ใน batch: `501` เครื่อง - gross จาก `SF-Galaxy-Pro-2568` ใน batch: `19,488,900` บาท - campaign description: `SF Galaxy Pro 2568 launch promo` ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_BANK_TRANSACTION.csv` หาแถว `transaction_type = deposit` และ `amount_thb > 0` ที่มี `amount_thb` สูงสุด - ใช้ `tables/FACT_SALES.csv` ตรวจ batch จาก `related_entity_id = REMOTE|2025-07-15|credit_card` - ใช้ `tables/FACT_SALES_LINE_ITEM.csv` รวมยอด SKU ใน transaction ของ batch - ใช้ `tables/DIM_PRODUCT.csv` ดู product/brand ของ SKU - ใช้ `tables/DIM_PROMO_CAMPAIGN.csv` ดูคำอธิบาย campaign `SF-LAUNCH-2568` - มี render ที่เกี่ยวข้องกับ bank statement เดือนนี้ใน `renders/bank_statement/2025-07/BS-OPER-REMOTE-2568-07_header.png` และ transaction pages ของ account `OPER-REMOTE`; ค่าที่ใช้ตอบยึดจาก structured table เป็นหลัก",
L3-Q-MED-003,"อยากทราบครับว่าในกลุ่มลูกค้า B2C ของฟ้าใหม่ ทั้งหมดที่บันทึกใน FACT_LOYALTY_LEDGER ใครเป็นคนที่ ""earn"" คะแนนสะสมรวมตลอดเวลาได้มากที่สุด (รวมเฉพาะ event_type = earned ไม่นับ expired/redeemed/tier_change) ขอ customer_id, จำนวนคะแนนที่ earn รวมทั้งสิ้นเป็นตัวเลข และ loyalty_tier ปัจจุบันของลูกค้ารายนั้นตาม DIM_CUSTOMER ครับ",tables,tables/FACT_LOYALTY_LEDGER.csv; tables/DIM_CUSTOMER.csv,"คำตอบ: ลูกค้า B2C ที่ earn คะแนนสะสมรวมมากที่สุดคือ: - `customer_id`: `CUST-L3-023922` - คะแนน earned รวม: `15,738` - loyalty tier ปัจจุบันจาก `DIM_CUSTOMER`: `platinum` ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_LOYALTY_LEDGER.csv` - กรอง `event_type = earned` - join กับ `tables/DIM_CUSTOMER.csv` - กรอง `customer_type = B2C` - group by `customer_id` แล้ว sum `points_delta` - join/read `loyalty_tier` จาก `DIM_CUSTOMER`",
L3-Q-MED-004,"ในปี 2025 (พ.ศ. 2568) ลูกค้า B2B รายไหนเป็นรายที่จ่ายเงินช้าที่สุด (วันที่ payment_received_date ล่าสุดของปี) รบกวนระบุ customer_id, จำนวนวันที่ชำระล่าช้ากว่า payment_due_date (ถ้าตรงเวลาให้ระบุ 0) และ payment_terms ที่ลูกค้ารายนั้นใช้อยู่ครับ",tables,tables/FACT_SALES.csv; tables/DIM_CUSTOMER.csv,คำตอบ: ในปี 2025 วันที่รับเงิน B2B ที่ล่าสุดที่สุดคือ `2025-12-31` และมีหลาย transaction ที่รับเงินวันนี้ (`23` transactions) ดังนั้นเลือก customer ที่ช้าสุดในกลุ่มวันที่ล่าสุดนี้จากจำนวนวันที่เกิน due date มากที่สุด: - `customer_id`: `CUST-L3-B2B-020600` - `txn_id`: `TXN-202510-18020600` - `payment_due_date`: `2025-12-17` - `payment_received_date`: `2025-12-31` - จ่ายช้ากว่า due date: `14` วัน - `payment_terms`: `NET-60` ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_SALES.csv` - กรอง `is_b2b = true` - กรอง `payment_received_date` อยู่ในปี 2025 - หา `payment_received_date` ล่าสุด คือ `2025-12-31` - ในกลุ่มวันล่าสุด คำนวณ `payment_received_date - payment_due_date` ถ้าติดลบให้นับเป็น `0` - ใช้ `tables/DIM_CUSTOMER.csv` เพื่อดึง `payment_terms`,
L3-Q-MED-005,จากข้อมูล FACT_INVENTORY_MONTHLY_SNAPSHOT ของปี 2568 (ค.ศ. 2025) SKU ไหนของฟ้าใหม่มีจำนวนเหตุการณ์ stockout (closing_units = 0) ต่อสาขาต่อเดือน รวมแล้วมากที่สุดในรอบปี และกระทบสาขา (retail branch) กี่สาขาครับ,tables,tables/FACT_INVENTORY_MONTHLY_SNAPSHOT.csv; tables/DIM_BRANCH.csv,คำตอบ: SKU ที่มี stockout มากที่สุดในปี 2025 คือ: - `sku_id`: `SKU-MASS-048` - จำนวนเหตุการณ์ stockout: `10` branch-month events - กระทบ retail branch: `9` สาขา ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_INVENTORY_MONTHLY_SNAPSHOT.csv` - กรองปี 2025 จาก `business_event_date` - กรอง `closing_units = 0` - ใช้ `tables/DIM_BRANCH.csv` เพื่อกรอง retail/physical branch โดยใช้ `branch_type = branch` - group by `sku_id` - นับจำนวน row เป็น stockout events และนับ distinct `branch_code` เป็นจำนวนสาขาที่กระทบ,
L3-Q-MED-006,"ขอเปรียบเทียบผลแคมเปญ 11.11 Mega Sale ปีต่อปีหน่อยครับ โดยใช้ข้อมูลจาก FACT_PROMO_REDEMPTION เทียบ MEGA-1111-2567 (11.11 ปี 2567) กับ MEGA-1111-2568 (11.11 ปี 2568) ขอตัวเลข 4 ค่า: (1) จำนวน redemption ทั้งหมดของแคมเปญปี 2567, (2) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2567, (3) จำนวน redemption ทั้งหมดของแคมเปญปี 2568, และ (4) ยอดส่วนลดรวมเป็นบาทของแคมเปญปี 2568 ครับ",tables; renders,tables/FACT_PROMO_REDEMPTION.csv; tables/DIM_PROMO_CAMPAIGN.csv; renders/e7_banner/2024-11/BN-MEGA1111-2567.png; renders/e7_banner/2025-11/BN-MEGA1111-2568.png,"คำตอบ: เปรียบเทียบ 11.11 Mega Sale: | campaign_id | redemption count | discount รวม | |---|---:|---:| | `MEGA-1111-2567` | `267` | `1,308,360` บาท | | `MEGA-1111-2568` | `442` | `2,868,084` บาท | ปี 2568 มี redemption มากกว่าปี 2567 อยู่ `175` ครั้ง และ discount รวมมากกว่า `1,559,724` บาท ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_PROMO_REDEMPTION.csv` - กรอง `campaign_id` เป็น `MEGA-1111-2567` และ `MEGA-1111-2568` - count rows เป็นจำนวน redemption - sum `discount_applied_thb` เป็นยอดส่วนลดรวม - ใช้ `tables/DIM_PROMO_CAMPAIGN.csv` เพื่อยืนยันว่า campaign เหล่านี้คือ `11.11 Mega Sale` - มี banner render ประกอบใน `renders/e7_banner/2024-11/BN-MEGA1111-2567.png` และ `renders/e7_banner/2025-11/BN-MEGA1111-2568.png`",
L3-Q-MED-007,ใน FACT_SALES ของ FahMai ตะกร้าซื้อขายฝั่ง B2C (is_b2b=False) ใบเดียวที่มียอด basket_total_thb สูงที่สุดตลอดทั้ง corpus เกิดขึ้นที่สาขาไหน รหัสรายการ (txn_id) คืออะไร และยอดรวมในตะกร้าเป็นกี่บาทครับ,tables,tables/FACT_SALES.csv,"คำตอบ: B2C basket ที่มี `basket_total_thb` สูงที่สุดทั้ง corpus คือ: - `txn_id`: `TXN-202411-03026757` - `branch_code`: `BKK-EMSP` - `basket_total_thb`: `320,300` บาท - `business_event_date`: `2024-11-03` ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_SALES.csv` - กรอง `is_b2b = false` - เรียง `basket_total_thb` จากมากไปน้อย - ดึงแถวแรก",
L3-Q-MED-008,ในปี 2024 (พ.ศ. 2567) ลูกค้าประเภท B2B ของ FahMai 5 อันดับแรกที่มียอดซื้อสูงสุด (วัดจาก net_total_thb ใน FACT_SALES รวมทั้งปี โดยกรองเฉพาะ business_event_date ที่อยู่ในปี 2024) คือลูกค้า customer_id อะไรบ้างครับ ขอเรียงจากอันดับ 1 ลงไปอันดับ 5 พร้อมยอด net รวมของแต่ละราย (หน่วยเป็นบาท) ด้วยครับ,tables,tables/FACT_SALES.csv,"คำตอบ: Top 5 ลูกค้า B2B ปี 2024 ตามยอดซื้อรวม `net_total_thb`: | rank | customer_id | net_total_thb | |---:|---|---:| | 1 | `CUST-L3-B2B-002600` | `7,548,210` | | 2 | `CUST-L3-B2B-021100` | `7,405,700` | | 3 | `CUST-L3-B2B-019600` | `6,817,740` | | 4 | `CUST-L3-B2B-026300` | `6,774,900` | | 5 | `CUST-L3-B2B-003500` | `6,758,870` | ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_SALES.csv` - กรอง `is_b2b = true` - กรอง `business_event_date` อยู่ในปี 2024 - group by `customer_id` - sum `net_total_thb` - เรียงจากมากไปน้อย",
L3-Q-MED-009,"ลูกค้าซื้อสินค้าและรับของในวันที่ 15 กุมภาพันธ์ 2025 (2025-02-15) ตามนโยบายของ FahMai ที่ ""มีผลบังคับใช้"" ในวันนั้น ลูกค้ามีสิทธิ์ขอคืนสินค้าได้ภายในกี่วันนับจากวันที่รับสินค้าครับ (return_window_days ใน DIM_POLICY_VERSION ขอบเขต global)",tables,tables/DIM_POLICY_VERSION.csv,คำตอบ: สำหรับวันที่ `2025-02-15` policy return window ที่มีผลบังคับใช้คือ: - `return_window_days`: `14` วัน - `policy_version_id`: `1` - effective period: `2024-01-01` ถึง `2025-03-01` - scope: `global` ดังนั้นลูกค้าซื้อและรับของวันที่ `2025-02-15` มีสิทธิ์คืนสินค้าได้ภายใน `14` วันนับจากวันที่รับสินค้า ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/DIM_POLICY_VERSION.csv` - กรอง `policy_variable = return_window_days` - กรอง `scope_filter = global` - เลือก policy ที่ `effective_date <= 2025-02-15` และ `end_date >= 2025-02-15`,
L3-Q-MED-010,ในวันที่ 20 มีนาคม 2568 (2025-03-20) เพดานวงเงินคืนเงิน (refund threshold) ที่บริษัทฟ้าใหม่ใช้บังคับอยู่ในขณะนั้นเป็นเท่าไหร่ในหน่วยบาท และเป็น policy_version_id หมายเลขใดครับ,tables,tables/DIM_POLICY_VERSION.csv,"คำตอบ: วันที่ `2025-03-20` refund threshold ที่มีผลบังคับใช้คือ: - refund threshold: `5,000` บาท - `policy_version_id`: `12` - effective date: `2025-03-15` - end date: ยังไม่มี end date - scope: `global` ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/DIM_POLICY_VERSION.csv` - กรอง `policy_variable = refund_threshold_thb` - กรอง `scope_filter = global` - เลือก policy ที่ครอบคลุมวันที่ `2025-03-20`",
L3-Q-MED-011,จากตาราง FACT_RETURN ในช่วงสัปดาห์สุดท้ายของปี 2025 (ตั้งแต่ 2025-12-25 ถึง 2025-12-31 รวมทั้งสองวัน อิงตามคอลัมน์ business_event_date) มีรายการคืนสินค้าทั้งหมดกี่รายการ และเมื่อจัดกลุ่มตาม return_reason แล้วแต่ละหมวดเหตุผลมีจำนวนเท่าไหร่ครับ กรุณาระบุทั้งจำนวนรวมและจำนวนแยกตามเหตุผล,tables,tables/FACT_RETURN.csv,คำตอบ: ช่วง `2025-12-25` ถึง `2025-12-31` มีรายการคืนสินค้าทั้งหมด: - total returns: `74` รายการ แยกตาม `return_reason`: | return_reason | count | |---|---:| | `customer_change_of_mind` | `74` | ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_RETURN.csv` - กรอง `business_event_date` ตั้งแต่ `2025-12-25` ถึง `2025-12-31` แบบรวมสองวัน - count `return_id` - group by `return_reason`,
L3-Q-MED-012,ขอข้อมูลจาก FACT_BANK_TRANSACTION หน่อยครับ ถ้านับเฉพาะธุรกรรมขาเข้า (credit / amount_thb เป็นบวก) และไม่นับบัญชี central operating ของ KBank (account_id=KBANK-OPER) แล้ว บัญชีไหนมี credit volume รวมสูงที่สุดในช่วงปี 2024-2025 และยอดรวมเป็นเท่าไหร่ (THB)? ขอ account_id + ยอด THB ครับ,tables,tables/FACT_BANK_TRANSACTION.csv,"คำตอบ: ถ้านับเฉพาะ credit หรือ `amount_thb > 0` และไม่รวม `account_id = KBANK-OPER` บัญชีที่มี credit volume รวมสูงที่สุดคือ: - `account_id`: `OPER-BKK-SIAM` - credit volume รวม: `579,680,857` บาท ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_BANK_TRANSACTION.csv` - กรอง `amount_thb > 0` - กรองออก `account_id = KBANK-OPER` - group by `account_id` - sum `amount_thb` - เรียงจากมากไปน้อย",
L3-Q-MED-013,ขอ Top 3 SKU ของฟ้าใหม่ที่ทำยอดขายรวม (gross revenue เป็น THB) ตลอดระยะเวลาที่มีข้อมูลในระบบสูงที่สุด โดยคิดจาก line_total_thb ใน FACT_SALES_LINE_ITEM ครับ ตอบ sku_id ทั้งสามตัวเรียงจากมากไปน้อย พร้อมระบุ brand_family ของแต่ละ SKU จาก DIM_PRODUCT ด้วย,tables,tables/FACT_SALES_LINE_ITEM.csv; tables/DIM_PRODUCT.csv,"คำตอบ: Top 3 SKU ตาม gross revenue จาก `line_total_thb` ตลอด corpus: | rank | sku_id | brand_family | gross revenue | |---:|---|---|---:| | 1 | `DN-LT-010` | `Dawn` | `228,465,900` | | 2 | `SF-Galaxy-Pro-2568` | `SaiFah` | `169,993,000` | | 3 | `SKU-MASS-019` | `FahMai` | `159,538,600` | ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_SALES_LINE_ITEM.csv` - group by `sku_id` - sum `line_total_thb` - ใช้ `tables/DIM_PRODUCT.csv` join เพื่อดึง `brand_family`",
L3-Q-MED-014,ในช่วง pre-launch baseline ก่อนเปิดตัวสินค้า SF-Galaxy-Pro (เปิดตัววันที่ 2025-07-15) basket size เฉลี่ยต่อ transaction (basket_total_thb) ของยอดขายที่หน้าร้านสาขา (สาขาทั้งหมดที่ไม่ใช่ REMOTE) เทียบกับยอดขายช่องทางออนไลน์ (สาขา REMOTE) เป็นเท่าไหร่ครับ กรุณาให้ค่าทั้งสองอย่าง (offline และ online) เป็นบาท,tables,tables/FACT_SALES.csv; tables/DIM_PRODUCT.csv,"คำตอบ: ใช้ช่วง pre-launch ก่อนเปิดตัว `SF-Galaxy-Pro-2568` คือข้อมูลตั้งแต่ `2024-01-01` ถึง `2025-07-14` - Offline หรือหน้าร้านทุกสาขาที่ไม่ใช่ `REMOTE`: average basket size = `58,040.03` บาทต่อ transaction - Online หรือ `branch_code = REMOTE`: average basket size = `37,993.83` บาทต่อ transaction จำนวน transaction ที่ใช้คำนวณ: - Offline/non-REMOTE: `79,321` transactions - Online/REMOTE: `10,049` transactions ไฟล์ที่ใช้และวิธีหา: - ใช้ `tables/FACT_SALES.csv` - กรอง `business_event_date < 2025-07-15` - แยก offline ด้วย `branch_code != REMOTE` - แยก online ด้วย `branch_code = REMOTE` - average `basket_total_thb` - วัน launch ของ SKU อ้างอิงจากคำถามและตรวจได้จาก `tables/DIM_PRODUCT.csv` โดย `SF-Galaxy-Pro-2568` มี `launch_date = 2025-07-15`",
