txn_id,business_event_date,posting_date,effective_date,as_of_date,branch_code,customer_id,employee_id,channel,basket_total_thb,discount_total_thb,net_total_thb,shipping_charge_thb,shipping_method,promo_campaign_id,payment_method,payment_status,payment_due_date,payment_received_date,settlement_bank_txn_id,web_log_line_id,schema_version,is_b2b,retry_idempotency_marker
TXN-202401-01006200,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,CUST-L3-B2B-006200,,offline,140900.00,0.00,140900.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-646299011886,,1,true,
TXN-202401-01006297,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,8500.00,0.00,8500.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01006314,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,12900.00,0.00,12900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01006388,2024-01-01,2024-01-01,,2026-01-15,UDN-CTRL,,,offline,48800.00,0.00,48800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01006406,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,50700.00,0.00,50700.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01006500,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,CUST-L3-B2B-006500,,offline,118800.00,0.00,118800.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-993629942321,,1,true,
TXN-202401-01006521,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,27700.00,0.00,27700.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01006599,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,85000.00,0.00,85000.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01006763,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,43800.00,0.00,43800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01006864,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,11800.00,0.00,11800.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01006900,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,CUST-L3-B2B-006900,,offline,111400.00,0.00,111400.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-02-09,BT-202402-779640101900,,1,true,
TXN-202401-01007107,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,29900.00,0.00,29900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01007800,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,CUST-L3-B2B-007800,,offline,143000.00,0.00,143000.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-13,BT-202403-363828960105,,1,true,
TXN-202401-01007833,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,37800.00,0.00,37800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01008135,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,68800.00,0.00,68800.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line24,1,false,
TXN-202401-01008166,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,31800.00,0.00,31800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01008327,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,54800.00,0.00,54800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01008405,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,24900.00,0.00,24900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01009000,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,CUST-L3-B2B-009000,,offline,320400.00,0.00,320400.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-725799209166,,1,true,
TXN-202401-01009070,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,80800.00,0.00,80800.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01009115,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,8500.00,0.00,8500.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01009232,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,4900.00,0.00,4900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01009523,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,33400.00,0.00,33400.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01009770,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,29900.00,0.00,29900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01009861,2024-01-01,2024-01-01,,2026-01-15,UDN-CTRL,,,offline,48800.00,0.00,48800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01010255,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,18900.00,0.00,18900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01010590,2024-01-01,2024-01-01,,2026-01-15,UDN-CTRL,,,offline,18900.00,0.00,18900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01010671,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,4900.00,0.00,4900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01010710,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,6900.00,0.00,6900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01011238,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,15400.00,0.00,15400.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01011521,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,36800.00,0.00,36800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01011606,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,18900.00,0.00,18900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01011695,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,25800.00,0.00,25800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01011803,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,29900.00,0.00,29900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01011971,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,8500.00,0.00,8500.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01012413,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,4900.00,0.00,4900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01013000,2024-01-01,2024-01-01,,2026-01-15,UDN-CTRL,CUST-L3-B2B-013000,,offline,176800.00,0.00,176800.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-311683834873,,1,true,
TXN-202401-01013191,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,69700.00,0.00,69700.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01013336,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,226000.00,0.00,226000.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01013717,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,12900.00,0.00,12900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01013965,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,160600.00,0.00,160600.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01014016,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,18900.00,0.00,18900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01014088,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,60800.00,0.00,60800.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line30,1,false,
TXN-202401-01014367,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,54800.00,0.00,54800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01014375,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,144300.00,0.00,144300.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01014664,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,42800.00,0.00,42800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01014768,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,18900.00,0.00,18900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01015300,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,CUST-L3-B2B-015300,,offline,67600.00,0.00,67600.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-248898262592,,1,true,
TXN-202401-01015401,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,6900.00,0.00,6900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01015726,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,55900.00,0.00,55900.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line36,1,false,
TXN-202401-01016000,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,CUST-L3-B2B-016000,,offline,233800.00,0.00,233800.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-26880565564,,1,true,
TXN-202401-01016500,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,CUST-L3-B2B-016500,,offline,144500.00,0.00,144500.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-1040227460347,,1,true,
TXN-202401-01016806,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,24900.00,0.00,24900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01016834,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,8500.00,0.00,8500.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01016895,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,4900.00,0.00,4900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01016943,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,6900.00,0.00,6900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01017284,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,16900.00,0.00,16900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01017436,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,19800.00,0.00,19800.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01017531,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,55900.00,0.00,55900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01017597,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,43300.00,0.00,43300.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01017646,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,27400.00,0.00,27400.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01017801,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,55900.00,0.00,55900.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line42,1,false,
TXN-202401-01017895,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,48800.00,0.00,48800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01017921,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,12900.00,0.00,12900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01018824,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,8500.00,0.00,8500.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01019013,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,18900.00,0.00,18900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01019250,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,68800.00,0.00,68800.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01019719,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,19800.00,0.00,19800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01019880,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,29900.00,0.00,29900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01020151,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,12900.00,0.00,12900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01020579,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,29900.00,0.00,29900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01020662,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,29900.00,0.00,29900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01021000,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,CUST-L3-B2B-021000,,offline,52100.00,0.00,52100.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-08,BT-202403-528661445456,,1,true,
TXN-202401-01021033,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,5900.00,0.00,5900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01021218,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,25500.00,0.00,25500.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01021354,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,8500.00,0.00,8500.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01021431,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,8500.00,0.00,8500.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01021696,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,29900.00,0.00,29900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01021809,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,34800.00,0.00,34800.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01021900,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,CUST-L3-B2B-021900,,offline,45300.00,0.00,45300.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-02-08,BT-202402-140248440494,,1,true,
TXN-202401-01022089,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,48100.00,0.00,48100.00,0.00,express,,mobile_wallet,paid,,,,web_20240101.jsonl:line48,1,false,
TXN-202401-01022138,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,,,offline,55900.00,0.00,55900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01022300,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,CUST-L3-B2B-022300,,offline,223700.00,0.00,223700.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-157159523436,,1,true,
TXN-202401-01023050,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,12900.00,0.00,12900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01023492,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,106400.00,0.00,106400.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01023800,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,CUST-L3-B2B-023800,,offline,59700.00,0.00,59700.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-927572714675,,1,true,
TXN-202401-01023830,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,55900.00,0.00,55900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01024195,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,8500.00,0.00,8500.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01024305,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,196500.00,0.00,196500.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01024617,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,15400.00,0.00,15400.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01024838,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,102200.00,0.00,102200.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01025030,2024-01-01,2024-01-01,,2026-01-15,KKC-CTRL,,,offline,11800.00,0.00,11800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01025292,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,55900.00,0.00,55900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01025300,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,CUST-L3-B2B-025300,,offline,346100.00,0.00,346100.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-02-08,BT-202402-173460844620,,1,true,
TXN-202401-01025522,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,8500.00,0.00,8500.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01025688,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,,,offline,6900.00,0.00,6900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01025698,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,40300.00,0.00,40300.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01025700,2024-01-01,2024-01-01,,2026-01-15,BKK-R9,CUST-L3-B2B-025700,,offline,105500.00,0.00,105500.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-897223183664,,1,true,
TXN-202401-01025739,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,18900.00,0.00,18900.00,0.00,standard,,debit_card,paid,,,,,1,false,
TXN-202401-01025777,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,29900.00,0.00,29900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01025900,2024-01-01,2024-01-01,,2026-01-15,BKK-PKT,CUST-L3-B2B-025900,,offline,261100.00,0.00,261100.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-375986962545,,1,true,
TXN-202401-01026160,2024-01-01,2024-01-01,,2026-01-15,HKT-FEST,,,offline,24900.00,0.00,24900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01026304,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,,,offline,18900.00,0.00,18900.00,0.00,standard,,credit_card,paid,,,,,1,false,
TXN-202401-01026334,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,169900.00,0.00,169900.00,0.00,express,,debit_card,paid,,,,web_20240101.jsonl:line54,1,false,
TXN-202401-01026511,2024-01-01,2024-01-01,,2026-01-15,REMOTE,,,online,12900.00,0.00,12900.00,0.00,express,,credit_card,paid,,,,web_20240101.jsonl:line60,1,false,
TXN-202401-01026900,2024-01-01,2024-01-01,,2026-01-15,UDN-CTRL,CUST-L3-B2B-026900,,offline,85600.00,0.00,85600.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-267591001127,,1,true,
TXN-202401-01027200,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,CUST-L3-B2B-027200,,offline,67700.00,0.00,67700.00,0.00,standard,,bank_transfer,paid,2024-03-01,2024-03-01,BT-202403-171967463434,,1,true,
TXN-202401-01027391,2024-01-01,2024-01-01,,2026-01-15,CNX-MAYA,,,offline,5900.00,0.00,5900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01027802,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,12900.00,0.00,12900.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01027858,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,93400.00,0.00,93400.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01027958,2024-01-01,2024-01-01,,2026-01-15,UDN-CTRL,,,offline,37800.00,0.00,37800.00,0.00,standard,,mobile_wallet,paid,,,,,1,false,
TXN-202401-01028007,2024-01-01,2024-01-01,,2026-01-15,BKK-SIAM,,,offline,24900.00,0.00,24900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01028043,2024-01-01,2024-01-01,,2026-01-15,BKK-EMSP,,,offline,4900.00,0.00,4900.00,0.00,standard,,cash,paid,,,,,1,false,
TXN-202401-01028300,2024-01-01,2024-01-01,,2026-01-15,BKK-CTW,CUST-L3-B2B-028300,,offline,217100.00,0.00,217100.00,0.00,standard,,bank_transfer,paid,2024-01-31,2024-01-31,BT-202401-749523844770,,1,true,
TXN-202401-01028442,2024-01-01,2024-01-01,,2026-01-15,PTY-CTRL,,,offline,6900.00,0.00,6900.00,0.00,standard,,cash,paid,,,,,1,false,
