cs_interaction_id,business_event_date,posting_date,effective_date,as_of_date,customer_id,employee_id,branch_code,channel,interaction_type,resolution_type,related_refund_id,related_warranty_claim_id,chat_session_id
CSI-202401-8728109,2024-01-01,2024-01-01,,2026-01-15,CUST-L3-029212,EMP-L3-00091,BKK-R9,in_person,warranty_claim,open,,WC-202401-01029212,
CSI-202401-3101423,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-000078,EMP-L3-00010,BKK-R9,in_person,refund_request,resolved,RFD-202401-02000078,,
CSI-202401-2332055,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-002376,EMP-L3-00019,BKK-R9,in_person,warranty_claim,open,,WC-202401-02002376,
CSI-202401-10994308,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-003096,EMP-L3-00025,BKK-R9,in_person,refund_request,resolved,RFD-202401-02003096,,
CSI-202401-5000160,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-003648,EMP-L3-00031,BKK-R9,in_person,warranty_claim,open,,WC-202401-02003648,
CSI-202401-12344839,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-004139,EMP-L3-00037,BKK-R9,in_person,refund_request,resolved,RFD-202401-02004139,,
CSI-202401-10803666,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-004201,EMP-L3-00043,BKK-R9,in_person,refund_request,resolved,RFD-202401-02004201,,
CSI-202401-15076273,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-004221,EMP-L3-00049,BKK-R9,in_person,refund_request,resolved,RFD-202401-02004221,,
CSI-202401-10031889,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-004990,EMP-L3-00055,BKK-R9,in_person,warranty_claim,open,,WC-202401-02004990,
CSI-202401-2102961,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-008357,EMP-L3-00061,BKK-R9,in_person,refund_request,resolved,RFD-202401-02008357,,
CSI-202401-10266454,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-008438,EMP-L3-00067,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-02-e377ee
CSI-202401-6340164,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-014707,EMP-L3-00073,BKK-R9,in_person,warranty_claim,open,,WC-202401-02014707,
CSI-202401-3548678,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-015209,EMP-L3-00079,BKK-R9,in_person,refund_request,resolved,RFD-202401-02015209,,
CSI-202401-12198518,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-015662,EMP-L3-00085,BKK-R9,in_person,refund_request,resolved,RFD-202401-02015662,,
CSI-202401-16534466,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-017894,EMP-L3-00091,BKK-R9,in_person,refund_request,resolved,RFD-202401-02017894,,
CSI-202401-11354848,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-018253,EMP-L3-00097,BKK-R9,in_person,refund_request,resolved,RFD-202401-02018253,,
CSI-202401-16416967,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-019460,EMP-L3-00103,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-02-c0d0af
CSI-202401-9514729,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-019550,EMP-L3-00109,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-02-447cbc
CSI-202401-1701781,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-020099,EMP-L3-00115,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-02-035ccb
CSI-202401-6828025,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-021022,EMP-L3-00121,BKK-R9,in_person,refund_request,resolved,RFD-202401-02021022,,
CSI-202401-1646797,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-022594,EMP-L3-00127,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-02-1435e7
CSI-202401-8808691,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-023094,EMP-L3-00133,BKK-R9,in_person,warranty_claim,open,,WC-202401-02023094,
CSI-202401-12521233,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-024692,EMP-L3-00139,BKK-R9,in_person,warranty_claim,open,,WC-202401-02024692,
CSI-202401-8474814,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-027494,EMP-L3-00145,BKK-R9,in_person,refund_request,resolved,RFD-202401-02027494,,
CSI-202401-5781579,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-028949,EMP-L3-00151,BKK-R9,in_person,refund_request,resolved,RFD-202401-02028949,,
CSI-202401-9687041,2024-01-02,2024-01-02,,2026-01-15,CUST-L3-029401,EMP-L3-00157,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-02-a6e34f
CSI-202401-339529,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-000765,EMP-L3-00010,BKK-R9,in_person,refund_request,resolved,RFD-202401-03000765,,
CSI-202401-13663098,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-001177,EMP-L3-00019,BKK-R9,in_person,warranty_claim,open,,WC-202401-03001177,
CSI-202401-9459190,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-002161,EMP-L3-00025,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-66e92f
CSI-202401-4972101,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-004627,EMP-L3-00031,BKK-R9,in_person,refund_request,resolved,RFD-202401-03004627,,
CSI-202401-13543838,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-004883,EMP-L3-00037,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-3a0c54
CSI-202401-3312848,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-004981,EMP-L3-00043,BKK-R9,in_person,refund_request,resolved,RFD-202401-03004981,,
CSI-202401-6497963,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-004981,EMP-L3-00049,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-18f33e
CSI-202401-16063876,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-006118,EMP-L3-00055,BKK-R9,in_person,refund_request,resolved,RFD-202401-03006118,,
CSI-202401-9926033,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-008519,EMP-L3-00061,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-93296e
CSI-202401-10240244,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-010441,EMP-L3-00067,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-f6e320
CSI-202401-12903524,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-010849,EMP-L3-00073,BKK-R9,in_person,warranty_claim,open,,WC-202401-03010849,
CSI-202401-703726,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-011168,EMP-L3-00079,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-31c0e5
CSI-202401-5410162,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-014075,EMP-L3-00085,BKK-R9,in_person,refund_request,resolved,RFD-202401-03014075,,
CSI-202401-10661595,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-015131,EMP-L3-00091,BKK-R9,in_person,refund_request,resolved,RFD-202401-03015131,,
CSI-202401-7698654,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-015330,EMP-L3-00097,BKK-R9,in_person,warranty_claim,open,,WC-202401-03015330,
CSI-202401-4566768,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-016354,EMP-L3-00103,BKK-R9,in_person,refund_request,resolved,RFD-202401-03016354,,
CSI-202401-1272519,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-016424,EMP-L3-00109,BKK-R9,in_person,refund_request,resolved,RFD-202401-03016424,,
CSI-202401-9652752,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-020352,EMP-L3-00115,BKK-R9,in_person,refund_request,resolved,RFD-202401-03020352,,
CSI-202401-13867647,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-021307,EMP-L3-00121,BKK-R9,in_person,refund_request,resolved,RFD-202401-03021307,,
CSI-202401-9707261,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-022064,EMP-L3-00127,BKK-R9,in_person,warranty_claim,open,,WC-202401-03022064,
CSI-202401-3658090,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-024623,EMP-L3-00133,BKK-R9,in_person,refund_request,resolved,RFD-202401-03024623,,
CSI-202401-6837896,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-024623,EMP-L3-00139,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-03-33d21a
CSI-202401-4106579,2024-01-03,2024-01-03,,2026-01-15,CUST-L3-026007,EMP-L3-00145,BKK-R9,in_person,warranty_claim,open,,WC-202401-03026007,
CSI-202401-6249128,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-002988,EMP-L3-00010,BKK-R9,in_person,warranty_claim,open,,WC-202401-04002988,
CSI-202401-11531210,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-003705,EMP-L3-00019,BKK-R9,in_person,refund_request,resolved,RFD-202401-04003705,,
CSI-202401-5023043,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-004813,EMP-L3-00025,BKK-R9,in_person,refund_request,resolved,RFD-202401-04004813,,
CSI-202401-16282764,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-006302,EMP-L3-00031,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-04-0a09d1
CSI-202401-4651485,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-006611,EMP-L3-00037,BKK-R9,in_person,refund_request,resolved,RFD-202401-04006611,,
CSI-202401-10011177,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-010738,EMP-L3-00043,BKK-R9,in_person,warranty_claim,open,,WC-202401-04010738,
CSI-202401-11499737,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-010739,EMP-L3-00049,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-04-e7d08c
CSI-202401-10320638,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-013952,EMP-L3-00055,BKK-R9,in_person,refund_request,resolved,RFD-202401-04013952,,
CSI-202401-5973432,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-017715,EMP-L3-00061,BKK-R9,in_person,refund_request,resolved,RFD-202401-04017715,,
CSI-202401-10302542,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-020114,EMP-L3-00067,BKK-R9,in_person,refund_request,resolved,RFD-202401-04020114,,
CSI-202401-16093819,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-021867,EMP-L3-00073,BKK-R9,in_person,refund_request,resolved,RFD-202401-04021867,,
CSI-202401-2596368,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-026017,EMP-L3-00079,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-04-c8074a
CSI-202401-13296979,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-026318,EMP-L3-00085,BKK-R9,in_person,refund_request,resolved,RFD-202401-04026318,,
CSI-202401-2294364,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-026384,EMP-L3-00091,BKK-R9,in_person,refund_request,resolved,RFD-202401-04026384,,
CSI-202401-1710754,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-026433,EMP-L3-00097,BKK-R9,in_person,warranty_claim,open,,WC-202401-04026433,
CSI-202401-14039974,2024-01-04,2024-01-04,,2026-01-15,CUST-L3-029704,EMP-L3-00103,BKK-R9,in_person,refund_request,resolved,RFD-202401-04029704,,
CSI-202401-12209360,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-001712,EMP-L3-00010,BKK-R9,in_person,warranty_claim,open,,WC-202401-05001712,
CSI-202401-15384722,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-005350,EMP-L3-00019,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-4901a5
CSI-202401-1014774,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-012170,EMP-L3-00025,BKK-R9,in_person,refund_request,resolved,RFD-202401-05012170,,
CSI-202401-15337649,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-012817,EMP-L3-00031,BKK-R9,in_person,refund_request,resolved,RFD-202401-05012817,,
CSI-202401-4173579,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-015863,EMP-L3-00037,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-6f5fb8
CSI-202401-7188383,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-020143,EMP-L3-00043,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-476fe1
CSI-202401-4331538,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-020318,EMP-L3-00049,BKK-R9,in_person,warranty_claim,open,,WC-202401-05020318,
CSI-202401-14415458,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-022981,EMP-L3-00055,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-3fd894
CSI-202401-12893030,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-023152,EMP-L3-00061,BKK-R9,in_person,refund_request,resolved,RFD-202401-05023152,,
CSI-202401-413839,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-023187,EMP-L3-00067,BKK-R9,in_person,warranty_claim,open,,WC-202401-05023187,
CSI-202401-14925762,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-023821,EMP-L3-00073,BKK-R9,in_person,warranty_claim,open,,WC-202401-05023821,
CSI-202401-11671331,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-023821,EMP-L3-00079,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-07f736
CSI-202401-6145399,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-024253,EMP-L3-00085,BKK-R9,in_person,refund_request,resolved,RFD-202401-05024253,,
CSI-202401-14337503,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-024499,EMP-L3-00091,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-869182
CSI-202401-8766947,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-024556,EMP-L3-00097,BKK-R9,in_person,refund_request,resolved,RFD-202401-05024556,,
CSI-202401-7957048,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-028490,EMP-L3-00103,BKK-R9,in_person,refund_request,resolved,RFD-202401-05028490,,
CSI-202401-5628400,2024-01-05,2024-01-05,,2026-01-15,CUST-L3-029005,EMP-L3-00109,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-05-6658ca
CSI-202401-12842784,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-000725,EMP-L3-00010,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-06-94a912
CSI-202401-16620475,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-001618,EMP-L3-00019,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-06-545631
CSI-202401-5526244,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-003370,EMP-L3-00025,BKK-R9,in_person,refund_request,resolved,RFD-202401-06003370,,
CSI-202401-11604433,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-005328,EMP-L3-00031,BKK-R9,in_person,refund_request,resolved,RFD-202401-06005328,,
CSI-202401-6258587,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-009687,EMP-L3-00037,BKK-R9,in_person,warranty_claim,open,,WC-202401-06009687,
CSI-202401-7318670,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-010407,EMP-L3-00043,BKK-R9,in_person,warranty_claim,open,,WC-202401-06010407,
CSI-202401-11791274,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-015330,EMP-L3-00049,BKK-R9,in_person,warranty_claim,open,,WC-202401-06015330,
CSI-202401-13053535,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-015667,EMP-L3-00055,BKK-R9,in_person,refund_request,resolved,RFD-202401-06015667,,
CSI-202401-7765194,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-016635,EMP-L3-00061,BKK-R9,in_person,warranty_claim,open,,WC-202401-06016635,
CSI-202401-9149083,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-017060,EMP-L3-00067,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-06-a031dd
CSI-202401-14864869,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-017264,EMP-L3-00073,BKK-R9,in_person,warranty_claim,open,,WC-202401-06017264,
CSI-202401-3174014,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-017507,EMP-L3-00079,BKK-R9,in_person,refund_request,resolved,RFD-202401-06017507,,
CSI-202401-7979128,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-018598,EMP-L3-00085,BKK-R9,in_person,refund_request,resolved,RFD-202401-06018598,,
CSI-202401-15057225,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-019697,EMP-L3-00091,BKK-R9,in_person,refund_request,resolved,RFD-202401-06019697,,
CSI-202401-7893690,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-026155,EMP-L3-00097,BKK-R9,in_person,refund_request,resolved,RFD-202401-06026155,,
CSI-202401-10707734,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-026528,EMP-L3-00103,BKK-R9,in_person,refund_request,resolved,RFD-202401-06026528,,
CSI-202401-247014,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-026609,EMP-L3-00109,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-06-bd9ac6
CSI-202401-16168392,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-028238,EMP-L3-00115,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-06-fcf994
CSI-202401-4900504,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-028256,EMP-L3-00121,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-06-86b94a
CSI-202401-3962274,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-029705,EMP-L3-00127,BKK-R9,in_person,refund_request,resolved,RFD-202401-06029705,,
CSI-202401-3990538,2024-01-06,2024-01-06,,2026-01-15,CUST-L3-029710,EMP-L3-00133,BKK-R9,in_person,refund_request,resolved,RFD-202401-06029710,,
CSI-202401-12538985,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-001136,EMP-L3-00010,BKK-R9,in_person,refund_request,resolved,RFD-202401-07001136,,
CSI-202401-7671319,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-001478,EMP-L3-00019,BKK-R9,in_person,refund_request,resolved,RFD-202401-07001478,,
CSI-202401-11085518,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-001478,EMP-L3-00025,BKK-R9,in_person,warranty_claim,open,,WC-202401-07001478,
CSI-202401-9361464,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-002483,EMP-L3-00031,BKK-R9,in_person,warranty_claim,open,,WC-202401-07002483,
CSI-202401-7323113,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-005116,EMP-L3-00037,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-7657db
CSI-202401-10694996,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-005122,EMP-L3-00043,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-e86f07
CSI-202401-7470490,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-007817,EMP-L3-00049,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-2683bd
CSI-202401-5508930,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-015656,EMP-L3-00055,BKK-R9,in_person,refund_request,resolved,RFD-202401-07015656,,
CSI-202401-12554800,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-015664,EMP-L3-00061,BKK-R9,in_person,refund_request,resolved,RFD-202401-07015664,,
CSI-202401-2385573,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-015773,EMP-L3-00067,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-ab0dc5
CSI-202401-5985370,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-015955,EMP-L3-00073,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-e5403c
CSI-202401-11963946,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-018059,EMP-L3-00079,BKK-R9,in_person,refund_request,resolved,RFD-202401-07018059,,
CSI-202401-163426,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-018121,EMP-L3-00085,BKK-R9,in_person,refund_request,resolved,RFD-202401-07018121,,
CSI-202401-13191096,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-019417,EMP-L3-00091,BKK-R9,in_person,refund_request,resolved,RFD-202401-07019417,,
CSI-202401-11178046,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-019424,EMP-L3-00097,BKK-R9,in_person,refund_request,resolved,RFD-202401-07019424,,
CSI-202401-12012289,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-019424,EMP-L3-00103,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-a9dd5d
CSI-202401-12647567,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-019504,EMP-L3-00109,BKK-R9,in_person,refund_request,resolved,RFD-202401-07019504,,
CSI-202401-12549655,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-019504,EMP-L3-00115,BKK-R9,in_person,warranty_claim,open,,WC-202401-07019504,
CSI-202401-13921559,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-020814,EMP-L3-00121,BKK-R9,in_person,refund_request,resolved,RFD-202401-07020814,,
CSI-202401-3336441,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-021424,EMP-L3-00127,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-58dd4c
CSI-202401-11216904,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-023007,EMP-L3-00133,BKK-R9,in_person,refund_request,resolved,RFD-202401-07023007,,
CSI-202401-13631565,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-024362,EMP-L3-00139,BKK-R9,in_person,warranty_claim,open,,WC-202401-07024362,
CSI-202401-11097662,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-024522,EMP-L3-00145,BKK-R9,in_person,warranty_claim,open,,WC-202401-07024522,
CSI-202401-12007692,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-025585,EMP-L3-00151,BKK-R9,in_person,warranty_claim,open,,WC-202401-07025585,
CSI-202401-1218135,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-026170,EMP-L3-00157,BKK-R9,in_person,refund_request,resolved,RFD-202401-07026170,,
CSI-202401-16503302,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-027032,EMP-L3-00163,BKK-R9,in_person,refund_request,resolved,RFD-202401-07027032,,
CSI-202401-16554881,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-027142,EMP-L3-00169,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-07-1cbcd0
CSI-202401-10267391,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-027480,EMP-L3-00175,BKK-R9,in_person,refund_request,resolved,RFD-202401-07027480,,
CSI-202401-9550146,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-027480,EMP-L3-00181,BKK-R9,in_person,warranty_claim,open,,WC-202401-07027480,
CSI-202401-4536648,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-027540,EMP-L3-00187,BKK-R9,in_person,refund_request,resolved,RFD-202401-07027540,,
CSI-202401-14186553,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-027709,EMP-L3-00193,BKK-R9,in_person,warranty_claim,open,,WC-202401-07027709,
CSI-202401-5452689,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-028347,EMP-L3-00199,BKK-R9,in_person,warranty_claim,open,,WC-202401-07028347,
CSI-202401-1561778,2024-01-07,2024-01-07,,2026-01-15,CUST-L3-028741,EMP-L3-00205,BKK-R9,in_person,warranty_claim,open,,WC-202401-07028741,
CSI-202401-10639561,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-000909,EMP-L3-00010,BKK-R9,in_person,warranty_claim,open,,WC-202401-08000909,
CSI-202401-9186034,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-001301,EMP-L3-00019,BKK-R9,in_person,refund_request,resolved,RFD-202401-08001301,,
CSI-202401-4311599,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-004569,EMP-L3-00025,BKK-R9,in_person,refund_request,resolved,RFD-202401-08004569,,
CSI-202401-273493,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-008720,EMP-L3-00031,BKK-R9,in_person,refund_request,resolved,RFD-202401-08008720,,
CSI-202401-11572407,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-009613,EMP-L3-00037,BKK-R9,in_person,refund_request,resolved,RFD-202401-08009613,,
CSI-202401-5611158,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-010265,EMP-L3-00043,BKK-R9,line_oa,chat_general,open,,,CHAT-LO-2024-01-08-a4c82a
CSI-202401-11758138,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-010529,EMP-L3-00049,BKK-R9,in_person,warranty_claim,open,,WC-202401-08010529,
CSI-202401-15642649,2024-01-08,2024-01-08,,2026-01-15,CUST-L3-010882,EMP-L3-00055,BKK-R9,in_person,refund_request,resolved,RFD-202401-08010882,,
