bank_txn_id,business_event_date,posting_date,effective_date,as_of_date,account_id,transaction_type,counterparty,related_entity_id,related_entity_table,amount_thb,balance_after_thb,description
BT-202401-314951944149,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004981,RFD-202401-03004981,FACT_REFUND_PAID,-18900.00,9491100.00,Refund payout RFD-202401-03004981
BT-202401-744634391366,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-006118,RFD-202401-03006118,FACT_REFUND_PAID,-24900.00,9311300.00,Refund payout RFD-202401-03006118
BT-202401-743569708766,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-014075,RFD-202401-03014075,FACT_REFUND_PAID,-8500.00,9336200.00,Refund payout RFD-202401-03014075
BT-202401-715965206254,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015131,RFD-202401-03015131,FACT_REFUND_PAID,-55900.00,9344700.00,Refund payout RFD-202401-03015131
BT-202401-336588923815,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-016354,RFD-202401-03016354,FACT_REFUND_PAID,-18900.00,9442300.00,Refund payout RFD-202401-03016354
BT-202401-397513969035,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-016424,RFD-202401-03016424,FACT_REFUND_PAID,-4900.00,9437400.00,Refund payout RFD-202401-03016424
BT-202401-763744755612,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-020352,RFD-202401-03020352,FACT_REFUND_PAID,-12900.00,9298400.00,Refund payout RFD-202401-03020352
BT-202401-1054154138587,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-021307,RFD-202401-03021307,FACT_REFUND_PAID,-29900.00,9510000.00,Refund payout RFD-202401-03021307
BT-202401-465017997220,2024-01-03,2024-01-03,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-024623,RFD-202401-03024623,FACT_REFUND_PAID,-6900.00,9430500.00,Refund payout RFD-202401-03024623
BT-202401-627319780108,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,V-001,VP-202401-11214155,FACT_VENDOR_PAYMENT,-85000.00,9039600.00,Vendor payment V-001 VP-202401-11214155
BT-202401-711348642225,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,V-002,VP-202401-7522911,FACT_VENDOR_PAYMENT,-42000.00,8997600.00,Vendor payment V-002 VP-202401-7522911
BT-202401-449452780983,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,V-006,VP-202401-3256864,FACT_VENDOR_PAYMENT,-18500.00,9124600.00,Vendor payment V-006 VP-202401-3256864
BT-202401-301970964246,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,V-014,VP-202401-3426051,FACT_VENDOR_PAYMENT,-16800.00,9178200.00,Vendor payment V-014 VP-202401-3426051
BT-202401-1055891161982,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-003705,RFD-202401-04003705,FACT_REFUND_PAID,-18900.00,9279200.00,Refund payout RFD-202401-04003705
BT-202401-958983273886,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004813,RFD-202401-04004813,FACT_REFUND_PAID,-8500.00,8978300.00,Refund payout RFD-202401-04004813
BT-202401-235518777872,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-006611,RFD-202401-04006611,FACT_REFUND_PAID,-12900.00,9195000.00,Refund payout RFD-202401-04006611
BT-202401-118383176595,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-013952,RFD-202401-04013952,FACT_REFUND_PAID,-8500.00,9214800.00,Refund payout RFD-202401-04013952
BT-202401-343690643836,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-017715,RFD-202401-04017715,FACT_REFUND_PAID,-4900.00,9173300.00,Refund payout RFD-202401-04017715
BT-202401-943050275046,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-020114,RFD-202401-04020114,FACT_REFUND_PAID,-4900.00,8986800.00,Refund payout RFD-202401-04020114
BT-202401-877758394068,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-021867,RFD-202401-04021867,FACT_REFUND_PAID,-5900.00,8991700.00,Refund payout RFD-202401-04021867
BT-202401-20555298932,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-026318,RFD-202401-04026318,FACT_REFUND_PAID,-6900.00,9207900.00,Refund payout RFD-202401-04026318
BT-202401-37582811073,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-026384,RFD-202401-04026384,FACT_REFUND_PAID,-29900.00,9143400.00,Refund payout RFD-202401-04026384
BT-202401-1057519634039,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-029704,RFD-202401-04029704,FACT_REFUND_PAID,-55900.00,9223300.00,Refund payout RFD-202401-04029704
BT-202401-1041785655301,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015958,790078096014,FACT_LOYALTY_LEDGER,-300.00,9298100.00,Loyalty redeem ledger #790078096014
BT-202401-41654199564,2024-01-04,2024-01-04,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-028718,684365662077,FACT_LOYALTY_LEDGER,-300.00,9143100.00,Loyalty redeem ledger #684365662077
BT-202401-393143161942,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-012170,RFD-202401-05012170,FACT_REFUND_PAID,-24900.00,8896100.00,Refund payout RFD-202401-05012170
BT-202401-650926576545,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-012817,RFD-202401-05012817,FACT_REFUND_PAID,-12900.00,8583200.00,Refund payout RFD-202401-05012817
BT-202401-762767002687,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-023152,RFD-202401-05023152,FACT_REFUND_PAID,-12900.00,8070300.00,Refund payout RFD-202401-05023152
BT-202401-387500462203,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-024253,RFD-202401-05024253,FACT_REFUND_PAID,-29900.00,8921000.00,Refund payout RFD-202401-05024253
BT-202401-258944320976,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-024556,RFD-202401-05024556,FACT_REFUND_PAID,-18900.00,8950900.00,Refund payout RFD-202401-05024556
BT-202401-107939544951,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-028490,RFD-202401-05028490,FACT_REFUND_PAID,-8500.00,8969800.00,Refund payout RFD-202401-05028490
BT-202401-719001963869,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,transfer,BBL-OPER,,,-500000.00,8083200.00,Inter-account transfer KBANK-OPER -> BBL-OPER
BT-202401-828163601432,2024-01-05,2024-01-05,,2026-01-15,BBL-OPER,transfer,KBANK-OPER,,,500000.00,3500000.00,Inter-account transfer KBANK-OPER -> BBL-OPER
BT-202401-397419142322,2024-01-05,2024-01-05,,2026-01-15,KBANK-OPER,transfer,SCB-OPER,,,-300000.00,8596100.00,Inter-account transfer KBANK-OPER -> SCB-OPER
BT-202401-807476684359,2024-01-05,2024-01-05,,2026-01-15,SCB-OPER,transfer,KBANK-OPER,,,300000.00,5300000.00,Inter-account transfer KBANK-OPER -> SCB-OPER
BT-202401-316097677385,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-003370,RFD-202401-06003370,FACT_REFUND_PAID,-4900.00,8048700.00,Refund payout RFD-202401-06003370
BT-202401-204849237618,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-005328,RFD-202401-06005328,FACT_REFUND_PAID,-4900.00,8060500.00,Refund payout RFD-202401-06005328
BT-202401-467365459605,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015667,RFD-202401-06015667,FACT_REFUND_PAID,-8500.00,8040200.00,Refund payout RFD-202401-06015667
BT-202401-267279357400,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-017507,RFD-202401-06017507,FACT_REFUND_PAID,-6900.00,8053600.00,Refund payout RFD-202401-06017507
BT-202401-961373302741,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-018598,RFD-202401-06018598,FACT_REFUND_PAID,-29900.00,7877100.00,Refund payout RFD-202401-06018598
BT-202401-566954293127,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-019697,RFD-202401-06019697,FACT_REFUND_PAID,-55900.00,7962900.00,Refund payout RFD-202401-06019697
BT-202401-737161494237,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-026155,RFD-202401-06026155,FACT_REFUND_PAID,-55900.00,7907000.00,Refund payout RFD-202401-06026155
BT-202401-1081610873369,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-026528,RFD-202401-06026528,FACT_REFUND_PAID,-4900.00,8065400.00,Refund payout RFD-202401-06026528
BT-202401-52206783564,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-029705,RFD-202401-06029705,FACT_REFUND_PAID,-8500.00,8031700.00,Refund payout RFD-202401-06029705
BT-202401-539927594633,2024-01-06,2024-01-06,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-029710,RFD-202401-06029710,FACT_REFUND_PAID,-12900.00,8018800.00,Refund payout RFD-202401-06029710
BT-202401-534251346820,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-001136,RFD-202401-07001136,FACT_REFUND_PAID,-18900.00,7607900.00,Refund payout RFD-202401-07001136
BT-202401-615124687461,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-001478,RFD-202401-07001478,FACT_REFUND_PAID,-6900.00,7583200.00,Refund payout RFD-202401-07001478
BT-202401-1092570496488,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015656,RFD-202401-07015656,FACT_REFUND_PAID,-4900.00,7872200.00,Refund payout RFD-202401-07015656
BT-202401-957062852841,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015664,RFD-202401-07015664,FACT_REFUND_PAID,-8500.00,7549200.00,Refund payout RFD-202401-07015664
BT-202401-599786263741,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-018059,RFD-202401-07018059,FACT_REFUND_PAID,-4900.00,7590100.00,Refund payout RFD-202401-07018059
BT-202401-347317930392,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-018121,RFD-202401-07018121,FACT_REFUND_PAID,-18900.00,7797400.00,Refund payout RFD-202401-07018121
BT-202401-678629119046,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-019417,RFD-202401-07019417,FACT_REFUND_PAID,-8500.00,7574700.00,Refund payout RFD-202401-07019417
BT-202401-564557452903,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-019424,RFD-202401-07019424,FACT_REFUND_PAID,-12900.00,7595000.00,Refund payout RFD-202401-07019424
BT-202401-474680481081,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-019504,RFD-202401-07019504,FACT_REFUND_PAID,-55900.00,7626800.00,Refund payout RFD-202401-07019504
BT-202401-365421178707,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-020814,RFD-202401-07020814,FACT_REFUND_PAID,-24900.00,7767600.00,Refund payout RFD-202401-07020814
BT-202401-472339483483,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-023007,RFD-202401-07023007,FACT_REFUND_PAID,-84900.00,7682700.00,Refund payout RFD-202401-07023007
BT-202401-351074390365,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-026170,RFD-202401-07026170,FACT_REFUND_PAID,-4900.00,7792500.00,Refund payout RFD-202401-07026170
BT-202401-251908765147,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-027032,RFD-202401-07027032,FACT_REFUND_PAID,-55900.00,7816300.00,Refund payout RFD-202401-07027032
BT-202401-93063470771,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-027480,RFD-202401-07027480,FACT_REFUND_PAID,-8500.00,7557700.00,Refund payout RFD-202401-07027480
BT-202401-916045755923,2024-01-07,2024-01-07,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-027540,RFD-202401-07027540,FACT_REFUND_PAID,-8500.00,7566200.00,Refund payout RFD-202401-07027540
BT-202401-984835950238,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,V-001,VP-202401-1767490,FACT_VENDOR_PAYMENT,-85000.00,7231000.00,Vendor payment V-001 VP-202401-1767490
BT-202401-961550836893,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,V-002,VP-202401-10174133,FACT_VENDOR_PAYMENT,-42000.00,7316000.00,Vendor payment V-002 VP-202401-10174133
BT-202401-9524956016,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,V-006,VP-202401-2300443,FACT_VENDOR_PAYMENT,-18500.00,7358000.00,Vendor payment V-006 VP-202401-2300443
BT-202401-663672476521,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,V-014,VP-202401-8938453,FACT_VENDOR_PAYMENT,-16800.00,7407200.00,Vendor payment V-014 VP-202401-8938453
BT-202401-946206908996,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-001301,RFD-202401-08001301,FACT_REFUND_PAID,-12900.00,7376500.00,Refund payout RFD-202401-08001301
BT-202401-256639838053,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-004569,RFD-202401-08004569,FACT_REFUND_PAID,-4900.00,7510000.00,Refund payout RFD-202401-08004569
BT-202401-1085197781752,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-008720,RFD-202401-08008720,FACT_REFUND_PAID,-12900.00,7536300.00,Refund payout RFD-202401-08008720
BT-202401-527588458677,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-009613,RFD-202401-08009613,FACT_REFUND_PAID,-24900.00,7428900.00,Refund payout RFD-202401-08009613
BT-202401-230735438232,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-010882,RFD-202401-08010882,FACT_REFUND_PAID,-8500.00,7514900.00,Refund payout RFD-202401-08010882
BT-202401-220005132452,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-011810,RFD-202401-08011810,FACT_REFUND_PAID,-12900.00,7523400.00,Refund payout RFD-202401-08011810
BT-202401-794787132309,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-013828,RFD-202401-08013828,FACT_REFUND_PAID,-12900.00,7394300.00,Refund payout RFD-202401-08013828
BT-202401-510780872666,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-014934,RFD-202401-08014934,FACT_REFUND_PAID,-8500.00,7453800.00,Refund payout RFD-202401-08014934
BT-202401-636259393235,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015720,RFD-202401-08015720,FACT_REFUND_PAID,-4900.00,7424000.00,Refund payout RFD-202401-08015720
BT-202401-39547628562,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-022162,RFD-202401-08022162,FACT_REFUND_PAID,-4900.00,7462300.00,Refund payout RFD-202401-08022162
BT-202401-844914747577,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-023503,RFD-202401-08023503,FACT_REFUND_PAID,-4900.00,7389400.00,Refund payout RFD-202401-08023503
BT-202401-326813777638,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-023860,RFD-202401-08023860,FACT_REFUND_PAID,-12900.00,7467200.00,Refund payout RFD-202401-08023860
BT-202401-302790662210,2024-01-08,2024-01-08,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-027630,RFD-202401-08027630,FACT_REFUND_PAID,-29900.00,7480100.00,Refund payout RFD-202401-08027630
BT-202401-908970808049,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-000015,RFD-202401-09000015,FACT_REFUND_PAID,-29900.00,6975500.00,Refund payout RFD-202401-09000015
BT-202401-974310681342,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-002438,RFD-202401-09002438,FACT_REFUND_PAID,-6900.00,6960100.00,Refund payout RFD-202401-09002438
BT-202401-1043908905805,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-006786,RFD-202401-09006786,FACT_REFUND_PAID,-6900.00,7224100.00,Refund payout RFD-202401-09006786
BT-202401-143741480895,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-006953,RFD-202401-09006953,FACT_REFUND_PAID,-55900.00,7168200.00,Refund payout RFD-202401-09006953
BT-202401-443488472020,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-014327,RFD-202401-09014327,FACT_REFUND_PAID,-55900.00,7093400.00,Refund payout RFD-202401-09014327
BT-202401-820114932575,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015528,RFD-202401-09015528,FACT_REFUND_PAID,-24900.00,7061300.00,Refund payout RFD-202401-09015528
BT-202401-91833870207,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-023081,RFD-202401-09023081,FACT_REFUND_PAID,-8500.00,6967000.00,Refund payout RFD-202401-09023081
BT-202401-337775546917,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-024682,RFD-202401-09024682,FACT_REFUND_PAID,-18900.00,7149300.00,Refund payout RFD-202401-09024682
BT-202401-882400532232,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-025604,RFD-202401-09025604,FACT_REFUND_PAID,-55900.00,7005400.00,Refund payout RFD-202401-09025604
BT-202401-578129413631,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-026785,RFD-202401-09026785,FACT_REFUND_PAID,-6900.00,7086500.00,Refund payout RFD-202401-09026785
BT-202401-760952457730,2024-01-09,2024-01-09,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-024682,337221752450,FACT_LOYALTY_LEDGER,-300.00,7086200.00,Loyalty redeem ledger #337221752450
BT-202401-248079968220,2024-01-10,2024-01-10,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-000378,RFD-202401-10000378,FACT_REFUND_PAID,-5900.00,6947000.00,Refund payout RFD-202401-10000378
BT-202401-81462483947,2024-01-10,2024-01-10,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-001471,RFD-202401-10001471,FACT_REFUND_PAID,-5900.00,6878300.00,Refund payout RFD-202401-10001471
BT-202401-748319888669,2024-01-10,2024-01-10,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-008471,RFD-202401-10008471,FACT_REFUND_PAID,-6900.00,6884200.00,Refund payout RFD-202401-10008471
BT-202401-174450896220,2024-01-10,2024-01-10,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-017473,RFD-202401-10017473,FACT_REFUND_PAID,-6900.00,6953200.00,Refund payout RFD-202401-10017473
BT-202401-251837296821,2024-01-10,2024-01-10,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-027908,RFD-202401-10027908,FACT_REFUND_PAID,-55900.00,6891100.00,Refund payout RFD-202401-10027908
BT-202401-223889335660,2024-01-10,2024-01-10,,2026-01-15,KBANK-OPER,withdrawal,CUST-L3-015214,212207577862,FACT_LOYALTY_LEDGER,-300.00,6952900.00,Loyalty redeem ledger #212207577862
BT-202401-1066061805927,2024-01-11,2024-01-11,,2026-01-15,KBANK-OPER,withdrawal,V-001,VP-202401-9977403,FACT_VENDOR_PAYMENT,-85000.00,6737400.00,Vendor payment V-001 VP-202401-9977403
BT-202401-169181680050,2024-01-11,2024-01-11,,2026-01-15,KBANK-OPER,withdrawal,V-002,VP-202401-2372053,FACT_VENDOR_PAYMENT,-42000.00,6665200.00,Vendor payment V-002 VP-202401-2372053
BT-202401-599552576343,2024-01-11,2024-01-11,,2026-01-15,KBANK-OPER,withdrawal,V-006,VP-202401-4500119,FACT_VENDOR_PAYMENT,-18500.00,6580300.00,Vendor payment V-006 VP-202401-4500119
BT-202401-1096940919472,2024-01-11,2024-01-11,,2026-01-15,KBANK-OPER,withdrawal,V-014,VP-202401-3775794,FACT_VENDOR_PAYMENT,-16800.00,6720600.00,Vendor payment V-014 VP-202401-3775794
