return_id,business_event_date,posting_date,effective_date,as_of_date,original_txn_id,line_item_id,sku_id,branch_code,customer_id,return_reason,approved_by_employee_id,days_since_purchase,return_amount_thb
RET-202401-03006118,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03006118,221945117642,SKU-MASS-010,KKC-CTRL,CUST-L3-006118,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-03014075,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03014075,1042458997297,SKU-MASS-104,BKK-EMSP,CUST-L3-014075,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-03015131,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03015131,466145104839,SKU-MASS-043,PTY-CTRL,CUST-L3-015131,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-03016354,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03016354,710019969743,SKU-MASS-021,BKK-EMSP,CUST-L3-016354,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-03016424,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03016424,481726244098,SKU-MASS-094,BKK-R9,CUST-L3-016424,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-03020352,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03020352,286636941592,SKU-MASS-055,BKK-CTW,CUST-L3-020352,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-03021307,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03021307,484480797064,SKU-MASS-089,BKK-EMSP,CUST-L3-021307,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-03024623,2024-01-03,2024-01-03,,2026-01-15,TXN-202401-03024623,490148508368,SKU-MASS-068,BKK-SIAM,CUST-L3-024623,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-04003705,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04003705,201155867275,SKU-MASS-021,REMOTE,CUST-L3-003705,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-04004813,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04004813,590461221697,SKU-MASS-080,BKK-SIAM,CUST-L3-004813,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-04006611,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04006611,109754422860,SKU-MASS-063,BKK-R9,CUST-L3-006611,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-04013952,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04013952,22170460585,SKU-MASS-032,BKK-CTW,CUST-L3-013952,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-04017715,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04017715,784478231685,SKU-MASS-022,REMOTE,CUST-L3-017715,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-04020114,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04020114,633140498834,SKU-MASS-022,REMOTE,CUST-L3-020114,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-04021867,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04021867,295713233827,WK-SW-004,BKK-SIAM,CUST-L3-021867,customer_change_of_mind,EMP-L3-00005,0,5900.00
RET-202401-04026318,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04026318,906572788210,SKU-MASS-052,BKK-CTW,CUST-L3-026318,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-04026384,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04026384,149037077006,SKU-MASS-097,BKK-SIAM,CUST-L3-026384,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-04029704,2024-01-04,2024-01-04,,2026-01-15,TXN-202401-04029704,783577864471,SKU-MASS-011,BKK-CTW,CUST-L3-029704,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-05012170,2024-01-05,2024-01-05,,2026-01-15,TXN-202401-05012170,702572995435,SKU-MASS-042,BKK-SIAM,CUST-L3-012170,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-05012817,2024-01-05,2024-01-05,,2026-01-15,TXN-202401-05012817,188472588584,SKU-STD-001,BKK-PKT,CUST-L3-012817,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-05023152,2024-01-05,2024-01-05,,2026-01-15,TXN-202401-05023152,416012762271,SKU-MASS-031,BKK-PKT,CUST-L3-023152,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-05024253,2024-01-05,2024-01-05,,2026-01-15,TXN-202401-05024253,557039530584,SKU-MASS-025,CNX-MAYA,CUST-L3-024253,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-05024556,2024-01-05,2024-01-05,,2026-01-15,TXN-202401-05024556,63772557189,SKU-MASS-101,HKT-FEST,CUST-L3-024556,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-05028490,2024-01-05,2024-01-05,,2026-01-15,TXN-202401-05028490,148019184687,SKU-MASS-096,PTY-CTRL,CUST-L3-028490,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-06003370,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06003370,810335175327,SKU-MASS-078,BKK-R9,CUST-L3-003370,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-06005328,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06005328,76503640105,SKU-MASS-086,BKK-CTW,CUST-L3-005328,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-06015667,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06015667,95120676617,SKU-MASS-008,BKK-PKT,CUST-L3-015667,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-06017507,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06017507,932572626062,SKU-MASS-060,BKK-SIAM,CUST-L3-017507,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-06018598,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06018598,722144686705,SKU-MASS-057,BKK-CTW,CUST-L3-018598,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-06019697,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06019697,486245040366,SKU-MASS-067,BKK-PKT,CUST-L3-019697,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-06026155,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06026155,82420987322,SKU-MASS-019,BKK-EMSP,CUST-L3-026155,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-06026528,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06026528,887633896138,SKU-MASS-054,BKK-SIAM,CUST-L3-026528,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-06029705,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06029705,902736765182,SKU-MASS-080,CNX-MAYA,CUST-L3-029705,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-06029710,2024-01-06,2024-01-06,,2026-01-15,TXN-202401-06029710,793238559145,SKU-MASS-079,CNX-MAYA,CUST-L3-029710,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-07001136,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07001136,67752406548,SKU-MASS-109,BKK-EMSP,CUST-L3-001136,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-07001478,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07001478,378670902761,SKU-MASS-108,BKK-PKT,CUST-L3-001478,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-07015656,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07015656,831641577916,SKU-MASS-022,BKK-SIAM,CUST-L3-015656,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-07015664,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07015664,668789945753,SKU-MASS-040,KKC-CTRL,CUST-L3-015664,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-07018059,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07018059,436421018976,SKU-MASS-030,UDN-CTRL,CUST-L3-018059,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-07018121,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07018121,935664815900,SKU-MASS-045,BKK-SIAM,CUST-L3-018121,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-07019417,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07019417,364987627813,SKU-MASS-032,HKT-FEST,CUST-L3-019417,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-07019424,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07019424,438392995287,SKU-MASS-039,BKK-CTW,CUST-L3-019424,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-07019504,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07019504,1040756713245,SKU-MASS-107,BKK-PKT,CUST-L3-019504,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-07020814,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07020814,637696999869,SKU-MASS-106,BKK-EMSP,CUST-L3-020814,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-07023007,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07023007,135381906936,DN-LT-010,BKK-EMSP,CUST-L3-023007,customer_change_of_mind,EMP-L3-00005,0,84900.00
RET-202401-07026170,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07026170,289107943192,SKU-MASS-078,BKK-SIAM,CUST-L3-026170,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-07027032,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07027032,608667793071,SKU-MASS-099,CNX-MAYA,CUST-L3-027032,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-07027480,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07027480,350641623572,SKU-MASS-008,UDN-CTRL,CUST-L3-027480,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-07027540,2024-01-07,2024-01-07,,2026-01-15,TXN-202401-07027540,408553013247,SKU-MASS-048,BKK-R9,CUST-L3-027540,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-08001301,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08001301,639013437453,SKU-MASS-071,BKK-PKT,CUST-L3-001301,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-08004569,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08004569,949153473264,SKU-MASS-054,BKK-CTW,CUST-L3-004569,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-08008720,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08008720,753253996034,SKU-MASS-087,CNX-MAYA,CUST-L3-008720,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-08009613,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08009613,259063335407,SKU-MASS-058,UDN-CTRL,CUST-L3-009613,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-08010882,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08010882,204833809512,SKU-MASS-024,BKK-CTW,CUST-L3-010882,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-08011810,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08011810,176025445721,SKU-STD-001,KKC-CTRL,CUST-L3-011810,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-08013828,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08013828,880216113832,SKU-MASS-063,BKK-CTW,CUST-L3-013828,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-08014934,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08014934,490126916834,SKU-MASS-096,KKC-CTRL,CUST-L3-014934,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-08015720,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08015720,373421919292,SKU-MASS-062,UDN-CTRL,CUST-L3-015720,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-08022162,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08022162,321522851735,SKU-MASS-086,BKK-R9,CUST-L3-022162,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-08023503,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08023503,534408770631,SKU-MASS-022,BKK-SIAM,CUST-L3-023503,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-08023860,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08023860,712252589870,SKU-MASS-047,BKK-PKT,CUST-L3-023860,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-08027630,2024-01-08,2024-01-08,,2026-01-15,TXN-202401-08027630,353232022459,SKU-MASS-025,BKK-R9,CUST-L3-027630,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-09000015,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09000015,827737462075,SKU-MASS-033,BKK-SIAM,CUST-L3-000015,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-09002438,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09002438,928470167785,SKU-MASS-092,KKC-CTRL,CUST-L3-002438,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-09006786,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09006786,183596779662,SKU-MASS-044,BKK-PKT,CUST-L3-006786,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-09006953,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09006953,228675687392,SKU-MASS-043,BKK-SIAM,CUST-L3-006953,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-09014327,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09014327,860804765737,SKU-MASS-099,HKT-FEST,CUST-L3-014327,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-09015528,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09015528,317302942280,SKU-MASS-082,CNX-MAYA,CUST-L3-015528,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-09023081,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09023081,915899448097,SKU-MASS-072,BKK-R9,CUST-L3-023081,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-09024682,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09024682,750710748064,SKU-MASS-109,REMOTE,CUST-L3-024682,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-09025604,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09025604,154897833129,SKU-MASS-043,PTY-CTRL,CUST-L3-025604,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-09026785,2024-01-09,2024-01-09,,2026-01-15,TXN-202401-09026785,17575882106,SKU-MASS-060,HKT-FEST,CUST-L3-026785,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-10000378,2024-01-10,2024-01-10,,2026-01-15,TXN-202401-10000378,696157619222,WK-SW-004,BKK-CTW,CUST-L3-000378,customer_change_of_mind,EMP-L3-00005,0,5900.00
RET-202401-10001471,2024-01-10,2024-01-10,,2026-01-15,TXN-202401-10001471,998358913636,WK-SW-004,BKK-PKT,CUST-L3-001471,customer_change_of_mind,EMP-L3-00005,0,5900.00
RET-202401-10008471,2024-01-10,2024-01-10,,2026-01-15,TXN-202401-10008471,713056446058,SKU-MASS-092,REMOTE,CUST-L3-008471,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-10017473,2024-01-10,2024-01-10,,2026-01-15,TXN-202401-10017473,311080225287,SKU-MASS-100,HKT-FEST,CUST-L3-017473,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-10027908,2024-01-10,2024-01-10,,2026-01-15,TXN-202401-10027908,796812072171,SKU-MASS-059,REMOTE,CUST-L3-027908,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-11000125,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11000125,868806981048,SKU-MASS-032,BKK-PKT,CUST-L3-000125,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-11002211,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11002211,772067433196,SKU-MASS-087,BKK-SIAM,CUST-L3-002211,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-11004196,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11004196,819866888037,SKU-MASS-046,BKK-CTW,CUST-L3-004196,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-11005207,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11005207,294735512766,SKU-MASS-077,BKK-SIAM,CUST-L3-005207,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-11006512,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11006512,406649179379,SKU-MASS-101,CNX-MAYA,CUST-L3-006512,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-11007413,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11007413,82305458188,SKU-MASS-065,BKK-PKT,CUST-L3-007413,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-11008614,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11008614,384261215357,SKU-MASS-066,REMOTE,CUST-L3-008614,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-11013503,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11013503,1077594450346,SKU-MASS-011,BKK-PKT,CUST-L3-013503,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-11013769,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11013769,363472497111,SKU-MASS-085,UDN-CTRL,CUST-L3-013769,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-11017523,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11017523,563352859065,SKU-MASS-072,BKK-CTW,CUST-L3-017523,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-11019544,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11019544,226762905845,SKU-MASS-013,UDN-CTRL,CUST-L3-019544,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-11020901,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11020901,430042635394,SKU-STD-001,BKK-PKT,CUST-L3-020901,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-11020989,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11020989,296840937012,SKU-MASS-020,HKT-FEST,CUST-L3-020989,customer_change_of_mind,EMP-L3-00005,0,6900.00
RET-202401-11021006,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11021006,903708045841,SKU-MASS-101,BKK-EMSP,CUST-L3-021006,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-11024883,2024-01-11,2024-01-11,,2026-01-15,TXN-202401-11024883,733218735696,SKU-MASS-050,BKK-PKT,CUST-L3-024883,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-12001820,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12001820,68573617576,SKU-MASS-107,BKK-EMSP,CUST-L3-001820,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-12008594,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12008594,671546091186,SKU-MASS-080,REMOTE,CUST-L3-008594,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-12010974,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12010974,58428329301,SKU-MASS-094,BKK-R9,CUST-L3-010974,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-12020847,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12020847,1063082269362,SKU-MASS-085,REMOTE,CUST-L3-020847,customer_change_of_mind,EMP-L3-00005,0,18900.00
RET-202401-12023426,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12023426,110669178817,SKU-MASS-086,BKK-CTW,CUST-L3-023426,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-12024717,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12024717,775132499017,SKU-MASS-066,BKK-EMSP,CUST-L3-024717,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-12025178,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12025178,1012998422455,SKU-MASS-098,HKT-FEST,CUST-L3-025178,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-12027679,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12027679,1023422786848,SKU-MASS-090,BKK-CTW,CUST-L3-027679,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-12028575,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12028575,532964238820,SKU-MASS-023,BKK-EMSP,CUST-L3-028575,customer_change_of_mind,EMP-L3-00005,0,12900.00
RET-202401-12028806,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12028806,879187754465,SKU-MASS-088,KKC-CTRL,CUST-L3-028806,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-12029586,2024-01-12,2024-01-12,,2026-01-15,TXN-202401-12029586,774179153368,SKU-MASS-074,BKK-EMSP,CUST-L3-029586,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-13001871,2024-01-13,2024-01-13,,2026-01-15,TXN-202401-13001871,32517223861,SKU-MASS-110,BKK-CTW,CUST-L3-001871,customer_change_of_mind,EMP-L3-00005,0,4900.00
RET-202401-13003984,2024-01-13,2024-01-13,,2026-01-15,TXN-202401-13003984,573018387761,SKU-MASS-057,BKK-EMSP,CUST-L3-003984,customer_change_of_mind,EMP-L3-00005,0,29900.00
RET-202401-13005170,2024-01-13,2024-01-13,,2026-01-15,TXN-202401-13005170,1012249455372,SKU-MASS-034,PTY-CTRL,CUST-L3-005170,customer_change_of_mind,EMP-L3-00005,0,24900.00
RET-202401-13005341,2024-01-13,2024-01-13,,2026-01-15,TXN-202401-13005341,9426501965,SKU-MASS-024,KKC-CTRL,CUST-L3-005341,customer_change_of_mind,EMP-L3-00005,0,8500.00
RET-202401-13007510,2024-01-13,2024-01-13,,2026-01-15,TXN-202401-13007510,498441566802,SKU-MASS-107,BKK-CTW,CUST-L3-007510,customer_change_of_mind,EMP-L3-00005,0,55900.00
RET-202401-13009119,2024-01-13,2024-01-13,,2026-01-15,TXN-202401-13009119,773722269299,SKU-MASS-104,BKK-SIAM,CUST-L3-009119,customer_change_of_mind,EMP-L3-00005,0,8500.00
