refund_id,business_event_date,posting_date,effective_date,as_of_date,return_id,cs_interaction_id,customer_id,refund_amount_thb,request_date,approver_employee_id,cosig_employee_id,bank_txn_id
RFD-202401-02004221,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02004221,,CUST-L3-004221,8500.00,2024-01-02,EMP-L3-00005,,BT-202401-859359070045
RFD-202401-02008357,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02008357,,CUST-L3-008357,6900.00,2024-01-02,EMP-L3-00005,,BT-202401-301492198591
RFD-202401-02015209,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02015209,,CUST-L3-015209,8500.00,2024-01-02,EMP-L3-00005,,BT-202401-320969600598
RFD-202401-02015662,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02015662,,CUST-L3-015662,18900.00,2024-01-02,EMP-L3-00005,,BT-202401-195126348152
RFD-202401-02017894,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02017894,,CUST-L3-017894,8500.00,2024-01-02,EMP-L3-00005,,BT-202401-684152863722
RFD-202401-02018253,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02018253,,CUST-L3-018253,8500.00,2024-01-02,EMP-L3-00005,,BT-202401-62539458348
RFD-202401-02021022,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02021022,,CUST-L3-021022,18900.00,2024-01-02,EMP-L3-00005,,BT-202401-45010163456
RFD-202401-02027494,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02027494,,CUST-L3-027494,6900.00,2024-01-02,EMP-L3-00005,,BT-202401-1099128077910
RFD-202401-02028949,2024-01-02,2024-01-02,,2026-01-15,RET-202401-02028949,,CUST-L3-028949,4900.00,2024-01-02,EMP-L3-00005,,BT-202401-839264936306
RFD-202401-03000765,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03000765,,CUST-L3-000765,29900.00,2024-01-03,EMP-L3-00005,,BT-202401-532198268744
RFD-202401-03004627,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03004627,,CUST-L3-004627,29900.00,2024-01-03,EMP-L3-00005,,BT-202401-315864699003
RFD-202401-03004981,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03004981,,CUST-L3-004981,18900.00,2024-01-03,EMP-L3-00005,,BT-202401-314951944149
RFD-202401-03006118,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03006118,,CUST-L3-006118,24900.00,2024-01-03,EMP-L3-00005,,BT-202401-744634391366
RFD-202401-03014075,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03014075,,CUST-L3-014075,8500.00,2024-01-03,EMP-L3-00005,,BT-202401-743569708766
RFD-202401-03015131,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03015131,,CUST-L3-015131,55900.00,2024-01-03,EMP-L3-00005,,BT-202401-715965206254
RFD-202401-03016354,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03016354,,CUST-L3-016354,18900.00,2024-01-03,EMP-L3-00005,,BT-202401-336588923815
RFD-202401-03016424,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03016424,,CUST-L3-016424,4900.00,2024-01-03,EMP-L3-00005,,BT-202401-397513969035
RFD-202401-03020352,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03020352,,CUST-L3-020352,12900.00,2024-01-03,EMP-L3-00005,,BT-202401-763744755612
RFD-202401-03021307,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03021307,,CUST-L3-021307,29900.00,2024-01-03,EMP-L3-00005,,BT-202401-1054154138587
RFD-202401-03024623,2024-01-03,2024-01-03,,2026-01-15,RET-202401-03024623,,CUST-L3-024623,6900.00,2024-01-03,EMP-L3-00005,,BT-202401-465017997220
RFD-202401-04003705,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04003705,,CUST-L3-003705,18900.00,2024-01-04,EMP-L3-00005,,BT-202401-1055891161982
RFD-202401-04004813,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04004813,,CUST-L3-004813,8500.00,2024-01-04,EMP-L3-00005,,BT-202401-958983273886
RFD-202401-04006611,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04006611,,CUST-L3-006611,12900.00,2024-01-04,EMP-L3-00005,,BT-202401-235518777872
RFD-202401-04013952,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04013952,,CUST-L3-013952,8500.00,2024-01-04,EMP-L3-00005,,BT-202401-118383176595
RFD-202401-04017715,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04017715,,CUST-L3-017715,4900.00,2024-01-04,EMP-L3-00005,,BT-202401-343690643836
RFD-202401-04020114,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04020114,,CUST-L3-020114,4900.00,2024-01-04,EMP-L3-00005,,BT-202401-943050275046
RFD-202401-04021867,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04021867,,CUST-L3-021867,5900.00,2024-01-04,EMP-L3-00005,,BT-202401-877758394068
RFD-202401-04026318,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04026318,,CUST-L3-026318,6900.00,2024-01-04,EMP-L3-00005,,BT-202401-20555298932
RFD-202401-04026384,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04026384,,CUST-L3-026384,29900.00,2024-01-04,EMP-L3-00005,,BT-202401-37582811073
RFD-202401-04029704,2024-01-04,2024-01-04,,2026-01-15,RET-202401-04029704,,CUST-L3-029704,55900.00,2024-01-04,EMP-L3-00005,,BT-202401-1057519634039
RFD-202401-05012170,2024-01-05,2024-01-05,,2026-01-15,RET-202401-05012170,,CUST-L3-012170,24900.00,2024-01-05,EMP-L3-00005,,BT-202401-393143161942
RFD-202401-05012817,2024-01-05,2024-01-05,,2026-01-15,RET-202401-05012817,,CUST-L3-012817,12900.00,2024-01-05,EMP-L3-00005,,BT-202401-650926576545
RFD-202401-05023152,2024-01-05,2024-01-05,,2026-01-15,RET-202401-05023152,,CUST-L3-023152,12900.00,2024-01-05,EMP-L3-00005,,BT-202401-762767002687
RFD-202401-05024253,2024-01-05,2024-01-05,,2026-01-15,RET-202401-05024253,,CUST-L3-024253,29900.00,2024-01-05,EMP-L3-00005,,BT-202401-387500462203
RFD-202401-05024556,2024-01-05,2024-01-05,,2026-01-15,RET-202401-05024556,,CUST-L3-024556,18900.00,2024-01-05,EMP-L3-00005,,BT-202401-258944320976
RFD-202401-05028490,2024-01-05,2024-01-05,,2026-01-15,RET-202401-05028490,,CUST-L3-028490,8500.00,2024-01-05,EMP-L3-00005,,BT-202401-107939544951
RFD-202401-06003370,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06003370,,CUST-L3-003370,4900.00,2024-01-06,EMP-L3-00005,,BT-202401-316097677385
RFD-202401-06005328,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06005328,,CUST-L3-005328,4900.00,2024-01-06,EMP-L3-00005,,BT-202401-204849237618
RFD-202401-06015667,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06015667,,CUST-L3-015667,8500.00,2024-01-06,EMP-L3-00005,,BT-202401-467365459605
RFD-202401-06017507,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06017507,,CUST-L3-017507,6900.00,2024-01-06,EMP-L3-00005,,BT-202401-267279357400
RFD-202401-06018598,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06018598,,CUST-L3-018598,29900.00,2024-01-06,EMP-L3-00005,,BT-202401-961373302741
RFD-202401-06019697,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06019697,,CUST-L3-019697,55900.00,2024-01-06,EMP-L3-00005,,BT-202401-566954293127
RFD-202401-06026155,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06026155,,CUST-L3-026155,55900.00,2024-01-06,EMP-L3-00005,,BT-202401-737161494237
RFD-202401-06026528,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06026528,,CUST-L3-026528,4900.00,2024-01-06,EMP-L3-00005,,BT-202401-1081610873369
RFD-202401-06029705,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06029705,,CUST-L3-029705,8500.00,2024-01-06,EMP-L3-00005,,BT-202401-52206783564
RFD-202401-06029710,2024-01-06,2024-01-06,,2026-01-15,RET-202401-06029710,,CUST-L3-029710,12900.00,2024-01-06,EMP-L3-00005,,BT-202401-539927594633
RFD-202401-07001136,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07001136,,CUST-L3-001136,18900.00,2024-01-07,EMP-L3-00005,,BT-202401-534251346820
RFD-202401-07001478,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07001478,,CUST-L3-001478,6900.00,2024-01-07,EMP-L3-00005,,BT-202401-615124687461
RFD-202401-07015656,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07015656,,CUST-L3-015656,4900.00,2024-01-07,EMP-L3-00005,,BT-202401-1092570496488
RFD-202401-07015664,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07015664,,CUST-L3-015664,8500.00,2024-01-07,EMP-L3-00005,,BT-202401-957062852841
RFD-202401-07018059,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07018059,,CUST-L3-018059,4900.00,2024-01-07,EMP-L3-00005,,BT-202401-599786263741
RFD-202401-07018121,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07018121,,CUST-L3-018121,18900.00,2024-01-07,EMP-L3-00005,,BT-202401-347317930392
RFD-202401-07019417,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07019417,,CUST-L3-019417,8500.00,2024-01-07,EMP-L3-00005,,BT-202401-678629119046
RFD-202401-07019424,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07019424,,CUST-L3-019424,12900.00,2024-01-07,EMP-L3-00005,,BT-202401-564557452903
RFD-202401-07019504,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07019504,,CUST-L3-019504,55900.00,2024-01-07,EMP-L3-00005,,BT-202401-474680481081
RFD-202401-07020814,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07020814,,CUST-L3-020814,24900.00,2024-01-07,EMP-L3-00005,,BT-202401-365421178707
RFD-202401-07023007,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07023007,,CUST-L3-023007,84900.00,2024-01-07,EMP-L3-00005,,BT-202401-472339483483
RFD-202401-07026170,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07026170,,CUST-L3-026170,4900.00,2024-01-07,EMP-L3-00005,,BT-202401-351074390365
RFD-202401-07027032,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07027032,,CUST-L3-027032,55900.00,2024-01-07,EMP-L3-00005,,BT-202401-251908765147
RFD-202401-07027480,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07027480,,CUST-L3-027480,8500.00,2024-01-07,EMP-L3-00005,,BT-202401-93063470771
RFD-202401-07027540,2024-01-07,2024-01-07,,2026-01-15,RET-202401-07027540,,CUST-L3-027540,8500.00,2024-01-07,EMP-L3-00005,,BT-202401-916045755923
RFD-202401-08001301,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08001301,,CUST-L3-001301,12900.00,2024-01-08,EMP-L3-00005,,BT-202401-946206908996
RFD-202401-08004569,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08004569,,CUST-L3-004569,4900.00,2024-01-08,EMP-L3-00005,,BT-202401-256639838053
RFD-202401-08008720,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08008720,,CUST-L3-008720,12900.00,2024-01-08,EMP-L3-00005,,BT-202401-1085197781752
RFD-202401-08009613,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08009613,,CUST-L3-009613,24900.00,2024-01-08,EMP-L3-00005,,BT-202401-527588458677
RFD-202401-08010882,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08010882,,CUST-L3-010882,8500.00,2024-01-08,EMP-L3-00005,,BT-202401-230735438232
RFD-202401-08011810,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08011810,,CUST-L3-011810,12900.00,2024-01-08,EMP-L3-00005,,BT-202401-220005132452
RFD-202401-08013828,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08013828,,CUST-L3-013828,12900.00,2024-01-08,EMP-L3-00005,,BT-202401-794787132309
RFD-202401-08014934,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08014934,,CUST-L3-014934,8500.00,2024-01-08,EMP-L3-00005,,BT-202401-510780872666
RFD-202401-08015720,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08015720,,CUST-L3-015720,4900.00,2024-01-08,EMP-L3-00005,,BT-202401-636259393235
RFD-202401-08022162,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08022162,,CUST-L3-022162,4900.00,2024-01-08,EMP-L3-00005,,BT-202401-39547628562
RFD-202401-08023503,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08023503,,CUST-L3-023503,4900.00,2024-01-08,EMP-L3-00005,,BT-202401-844914747577
RFD-202401-08023860,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08023860,,CUST-L3-023860,12900.00,2024-01-08,EMP-L3-00005,,BT-202401-326813777638
RFD-202401-08027630,2024-01-08,2024-01-08,,2026-01-15,RET-202401-08027630,,CUST-L3-027630,29900.00,2024-01-08,EMP-L3-00005,,BT-202401-302790662210
RFD-202401-09000015,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09000015,,CUST-L3-000015,29900.00,2024-01-09,EMP-L3-00005,,BT-202401-908970808049
RFD-202401-09002438,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09002438,,CUST-L3-002438,6900.00,2024-01-09,EMP-L3-00005,,BT-202401-974310681342
RFD-202401-09006786,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09006786,,CUST-L3-006786,6900.00,2024-01-09,EMP-L3-00005,,BT-202401-1043908905805
RFD-202401-09006953,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09006953,,CUST-L3-006953,55900.00,2024-01-09,EMP-L3-00005,,BT-202401-143741480895
RFD-202401-09014327,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09014327,,CUST-L3-014327,55900.00,2024-01-09,EMP-L3-00005,,BT-202401-443488472020
RFD-202401-09015528,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09015528,,CUST-L3-015528,24900.00,2024-01-09,EMP-L3-00005,,BT-202401-820114932575
RFD-202401-09023081,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09023081,,CUST-L3-023081,8500.00,2024-01-09,EMP-L3-00005,,BT-202401-91833870207
RFD-202401-09024682,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09024682,,CUST-L3-024682,18900.00,2024-01-09,EMP-L3-00005,,BT-202401-337775546917
RFD-202401-09025604,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09025604,,CUST-L3-025604,55900.00,2024-01-09,EMP-L3-00005,,BT-202401-882400532232
RFD-202401-09026785,2024-01-09,2024-01-09,,2026-01-15,RET-202401-09026785,,CUST-L3-026785,6900.00,2024-01-09,EMP-L3-00005,,BT-202401-578129413631
RFD-202401-10000378,2024-01-10,2024-01-10,,2026-01-15,RET-202401-10000378,,CUST-L3-000378,5900.00,2024-01-10,EMP-L3-00005,,BT-202401-248079968220
RFD-202401-10001471,2024-01-10,2024-01-10,,2026-01-15,RET-202401-10001471,,CUST-L3-001471,5900.00,2024-01-10,EMP-L3-00005,,BT-202401-81462483947
RFD-202401-10008471,2024-01-10,2024-01-10,,2026-01-15,RET-202401-10008471,,CUST-L3-008471,6900.00,2024-01-10,EMP-L3-00005,,BT-202401-748319888669
RFD-202401-10017473,2024-01-10,2024-01-10,,2026-01-15,RET-202401-10017473,,CUST-L3-017473,6900.00,2024-01-10,EMP-L3-00005,,BT-202401-174450896220
RFD-202401-10027908,2024-01-10,2024-01-10,,2026-01-15,RET-202401-10027908,,CUST-L3-027908,55900.00,2024-01-10,EMP-L3-00005,,BT-202401-251837296821
RFD-202401-11000125,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11000125,,CUST-L3-000125,8500.00,2024-01-11,EMP-L3-00005,,BT-202401-345375556655
RFD-202401-11002211,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11002211,,CUST-L3-002211,12900.00,2024-01-11,EMP-L3-00005,,BT-202401-425485462878
RFD-202401-11004196,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11004196,,CUST-L3-004196,4900.00,2024-01-11,EMP-L3-00005,,BT-202401-128515064320
RFD-202401-11005207,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11005207,,CUST-L3-005207,18900.00,2024-01-11,EMP-L3-00005,,BT-202401-287639430801
RFD-202401-11006512,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11006512,,CUST-L3-006512,18900.00,2024-01-11,EMP-L3-00005,,BT-202401-825707455146
RFD-202401-11007413,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11007413,,CUST-L3-007413,29900.00,2024-01-11,EMP-L3-00005,,BT-202401-721860124815
RFD-202401-11008614,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11008614,,CUST-L3-008614,24900.00,2024-01-11,EMP-L3-00005,,BT-202401-71928214650
RFD-202401-11013503,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11013503,,CUST-L3-013503,55900.00,2024-01-11,EMP-L3-00005,,BT-202401-1059242166729
RFD-202401-11013769,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11013769,,CUST-L3-013769,18900.00,2024-01-11,EMP-L3-00005,,BT-202401-918027011003
RFD-202401-11017523,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11017523,,CUST-L3-017523,8500.00,2024-01-11,EMP-L3-00005,,BT-202401-1099041275604
RFD-202401-11019544,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11019544,,CUST-L3-019544,18900.00,2024-01-11,EMP-L3-00005,,BT-202401-504400504405
RFD-202401-11020901,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11020901,,CUST-L3-020901,12900.00,2024-01-11,EMP-L3-00005,,BT-202401-953901357571
RFD-202401-11020989,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11020989,,CUST-L3-020989,6900.00,2024-01-11,EMP-L3-00005,,BT-202401-32804038446
RFD-202401-11021006,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11021006,,CUST-L3-021006,18900.00,2024-01-11,EMP-L3-00005,,BT-202401-706125744734
RFD-202401-11024883,2024-01-11,2024-01-11,,2026-01-15,RET-202401-11024883,,CUST-L3-024883,24900.00,2024-01-11,EMP-L3-00005,,BT-202401-910420801401
RFD-202401-12001820,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12001820,,CUST-L3-001820,55900.00,2024-01-12,EMP-L3-00005,,BT-202401-758136228402
RFD-202401-12008594,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12008594,,CUST-L3-008594,8500.00,2024-01-12,EMP-L3-00005,,BT-202401-184206800248
RFD-202401-12010974,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12010974,,CUST-L3-010974,4900.00,2024-01-12,EMP-L3-00005,,BT-202401-405196906336
RFD-202401-12020847,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12020847,,CUST-L3-020847,18900.00,2024-01-12,EMP-L3-00005,,BT-202401-34946823821
RFD-202401-12023426,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12023426,,CUST-L3-023426,4900.00,2024-01-12,EMP-L3-00005,,BT-202401-52482161008
RFD-202401-12024717,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12024717,,CUST-L3-024717,24900.00,2024-01-12,EMP-L3-00005,,BT-202401-187080669746
RFD-202401-12025178,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12025178,,CUST-L3-025178,24900.00,2024-01-12,EMP-L3-00005,,BT-202401-899630930913
RFD-202401-12027679,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12027679,,CUST-L3-027679,24900.00,2024-01-12,EMP-L3-00005,,BT-202401-691206602422
RFD-202401-12028575,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12028575,,CUST-L3-028575,12900.00,2024-01-12,EMP-L3-00005,,BT-202401-385015125090
RFD-202401-12028806,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12028806,,CUST-L3-028806,8500.00,2024-01-12,EMP-L3-00005,,BT-202401-1030844475461
RFD-202401-12029586,2024-01-12,2024-01-12,,2026-01-15,RET-202401-12029586,,CUST-L3-029586,24900.00,2024-01-12,EMP-L3-00005,,BT-202401-636175465978
RFD-202401-13001871,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13001871,,CUST-L3-001871,4900.00,2024-01-13,EMP-L3-00005,,BT-202401-1016353168864
RFD-202401-13003984,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13003984,,CUST-L3-003984,29900.00,2024-01-13,EMP-L3-00005,,BT-202401-977168939908
RFD-202401-13005170,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13005170,,CUST-L3-005170,24900.00,2024-01-13,EMP-L3-00005,,BT-202401-919758104425
RFD-202401-13005341,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13005341,,CUST-L3-005341,8500.00,2024-01-13,EMP-L3-00005,,BT-202401-1099194390265
RFD-202401-13007510,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13007510,,CUST-L3-007510,55900.00,2024-01-13,EMP-L3-00005,,BT-202401-318311866133
RFD-202401-13009119,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13009119,,CUST-L3-009119,8500.00,2024-01-13,EMP-L3-00005,,BT-202401-953693601082
RFD-202401-13009513,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13009513,,CUST-L3-009513,24900.00,2024-01-13,EMP-L3-00005,,BT-202401-759993280334
RFD-202401-13012608,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13012608,,CUST-L3-012608,4900.00,2024-01-13,EMP-L3-00005,,BT-202401-332871521908
RFD-202401-13014526,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13014526,,CUST-L3-014526,55900.00,2024-01-13,EMP-L3-00005,,BT-202401-297797838706
RFD-202401-13019170,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13019170,,CUST-L3-019170,18900.00,2024-01-13,EMP-L3-00005,,BT-202401-356608323852
RFD-202401-13020018,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13020018,,CUST-L3-020018,18900.00,2024-01-13,EMP-L3-00005,,BT-202401-940730209930
RFD-202401-13026387,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13026387,,CUST-L3-026387,8500.00,2024-01-13,EMP-L3-00005,,BT-202401-575670975363
RFD-202401-13027471,2024-01-13,2024-01-13,,2026-01-15,RET-202401-13027471,,CUST-L3-027471,55900.00,2024-01-13,EMP-L3-00005,,BT-202401-890714863475
RFD-202401-14000077,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14000077,,CUST-L3-000077,55900.00,2024-01-14,EMP-L3-00005,,BT-202401-184954414905
RFD-202401-14004036,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14004036,,CUST-L3-004036,29900.00,2024-01-14,EMP-L3-00005,,BT-202401-670285688567
RFD-202401-14004896,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14004896,,CUST-L3-004896,4900.00,2024-01-14,EMP-L3-00005,,BT-202401-633687093324
RFD-202401-14007943,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14007943,,CUST-L3-007943,4900.00,2024-01-14,EMP-L3-00005,,BT-202401-1094634266022
RFD-202401-14011680,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14011680,,CUST-L3-011680,29900.00,2024-01-14,EMP-L3-00005,,BT-202401-383537729249
RFD-202401-14015993,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14015993,,CUST-L3-015993,24900.00,2024-01-14,EMP-L3-00005,,BT-202401-492697874224
RFD-202401-14025530,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14025530,,CUST-L3-025530,18900.00,2024-01-14,EMP-L3-00005,,BT-202401-1037325869562
RFD-202401-14026213,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14026213,,CUST-L3-026213,6900.00,2024-01-14,EMP-L3-00005,,BT-202401-483876548789
RFD-202401-14026914,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14026914,,CUST-L3-026914,6900.00,2024-01-14,EMP-L3-00005,,BT-202401-881508015763
RFD-202401-14028192,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14028192,,CUST-L3-028192,8500.00,2024-01-14,EMP-L3-00005,,BT-202401-232847037573
RFD-202401-14029295,2024-01-14,2024-01-14,,2026-01-15,RET-202401-14029295,,CUST-L3-029295,8500.00,2024-01-14,EMP-L3-00005,,BT-202401-347688985601
RFD-202401-15005746,2024-01-15,2024-01-15,,2026-01-15,RET-202401-15005746,,CUST-L3-005746,4900.00,2024-01-15,EMP-L3-00005,,BT-202401-855722244129
RFD-202401-15008043,2024-01-15,2024-01-15,,2026-01-15,RET-202401-15008043,,CUST-L3-008043,12900.00,2024-01-15,EMP-L3-00005,,BT-202401-376761556153
RFD-202401-15009112,2024-01-15,2024-01-15,,2026-01-15,RET-202401-15009112,,CUST-L3-009112,4900.00,2024-01-15,EMP-L3-00005,,BT-202401-721814407302
RFD-202401-15009814,2024-01-15,2024-01-15,,2026-01-15,RET-202401-15009814,,CUST-L3-009814,24900.00,2024-01-15,EMP-L3-00005,,BT-202401-654511566268
RFD-202401-15018543,2024-01-15,2024-01-15,,2026-01-15,RET-202401-15018543,,CUST-L3-018543,29900.00,2024-01-15,EMP-L3-00005,,BT-202401-924973564241
RFD-202401-15019311,2024-01-15,2024-01-15,,2026-01-15,RET-202401-15019311,,CUST-L3-019311,24900.00,2024-01-15,EMP-L3-00005,,BT-202401-559098966896
